job_id,receiver,seed,k_shot,new_class_count,scenario,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1
rx_3_19__seed_713104__k_10__new_10,3-19,713104,10,10,leo_low_elev_weak,0.7666666666666667,0.5916666666666667,0.55,0.2,0.395,0.47373310810810815,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_10,3-19,713104,10,10,leo_rain_weak,0.675,0.5333333333333333,0.35,0.25,0.395,0.45385996409335727,0.14166666666666672,-0.14166666666666672,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_20,3-19,713104,10,20,leo_clear_weak,0.7583333333333333,0.625,0.55,0.35,0.51,0.5616740088105726,0.1333333333333333,-0.1333333333333333,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_20,3-19,713104,10,20,leo_low_elev_weak,0.7666666666666667,0.5416666666666666,0.55,0.15,0.4675,0.5018579686209743,0.2250000000000001,-0.2250000000000001,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_20,3-19,713104,10,20,leo_rain_weak,0.675,0.5333333333333333,0.35,0.3,0.505,0.5187800963081861,0.14166666666666672,-0.14166666666666672,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_5__new_20,3-19,713104,5,20,leo_clear_weak,0.6666666666666666,0.49166666666666664,0.3,0.05,0.425,0.45590909090909093,0.175,-0.175,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_5__new_20,3-19,713104,5,20,leo_low_elev_weak,0.6833333333333333,0.525,0.45,0.3,0.345,0.41637931034482756,0.15833333333333333,-0.15833333333333333,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_5__new_20,3-19,713104,5,20,leo_rain_weak,0.6416666666666667,0.5416666666666666,0.35,0.25,0.3575,0.43072289156626503,0.10000000000000009,-0.10000000000000009,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_1__new_20,3-19,713104,1,20,leo_clear_weak,0.5333333333333333,0.2833333333333333,0.0,0.0,0.1325,0.18056112224448898,0.25,-0.25,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_1__new_20,3-19,713104,1,20,leo_low_elev_weak,0.4166666666666667,0.225,0.0,0.0,0.1575,0.18529411764705883,0.19166666666666668,-0.19166666666666668,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_1__new_20,3-19,713104,1,20,leo_rain_weak,0.6,0.4,0.4,0.2,0.16,0.22857142857142856,0.19999999999999996,-0.19999999999999996,MISSING_NOT_RUN,,
