method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,cell_receipt_sha256,old_acc_before_increment_mean_3scenarios,old_acc_after_increment_mean_3scenarios,seen_new_acc_mean_3scenarios,H_old_new_mean_3scenarios,candidate_average_forgetting_mean_3scenarios,min_old_class_acc_mean_3scenarios,direct_adv3b02_old_acc_mean_3scenarios,identity_old_acc_after_increment_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_10,20-1,713105,1,10,3,d95ec29baa2753402e5c12f0851c22f7657c1199b6d0ca81aaeaba1cc474be9c,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.8944444444444445
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_20,20-1,713105,1,20,3,bc8ca9b2849011f36d0f8f14c091979bb769f4c31235e0e95bbbe26d0666f166,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.9138888888888889
CSIL,csil_official_repo,rx_20_1__seed_713105__new_3__csil_official_repo__k_1,20-1,713105,3,1,3,82cc17e5655874a96f31d9c315b7c5dd71c0c5d8bfcb0c007a59f3c3ca68638a,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.8249999999999998
CSIL,csil_official_repo,rx_20_1__seed_713105__new_3__csil_official_repo__k_5,20-1,713105,3,5,3,07210a7d889f2f50ade905d69617746eee80554699edd3076a0781300fb564ec,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.8972222222222223
CSIL,csil_official_repo,rx_20_1__seed_713105__new_3__csil_official_repo__k_10,20-1,713105,3,10,3,f7c0b33158c3192e57692d07ef862e214fd988f54805c5920726b9a018b26078,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.8861111111111111
CSIL,csil_official_repo,rx_20_1__seed_713105__new_3__csil_official_repo__k_20,20-1,713105,3,20,3,b6d6da5b89c6f2d11beb06bdda0b5b2e976159dd61334537544523f48caebd41,0.8333333333333334,0.0,0.3333333333333333,0.0,0.8333333333333334,0.0,0.7833333333333333,0.9
CSIL,csil_official_repo,rx_20_1__seed_713105__new_20__csil_official_repo__k_1,20-1,713105,20,1,3,570909184bb9c7c47d73d21a80abef8049db9add95493cc11577a131b4f64dbc,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.7444444444444445
CSIL,csil_official_repo,rx_20_1__seed_713105__new_20__csil_official_repo__k_5,20-1,713105,20,5,3,c8411e379bf3d8ad57141248b682b766c9a1fd9db2fb54eb3675504ab180b914,0.8333333333333334,0.0,0.050833333333333335,0.0,0.8333333333333334,0.0,0.7833333333333333,0.8416666666666667
CSIL,csil_official_repo,rx_20_1__seed_713105__new_20__csil_official_repo__k_10,20-1,713105,20,10,3,fe787f5a11a8161f734af77c716586259d4b8f7176fa8b159a403c53dd635a8c,0.8333333333333334,0.030555555555555555,0.05333333333333334,0.022916666666666665,0.8027777777777777,0.0,0.7833333333333333,0.8416666666666667
CSIL,csil_official_repo,rx_20_1__seed_713105__new_20__csil_official_repo__k_20,20-1,713105,20,20,3,4dc1e2bc549f109e12a7079a0603a9a42a25cd787f53b2cae13a25d2991ab635,0.8333333333333334,0.5638888888888889,0.055,0.09832725643136016,0.2694444444444445,0.03333333333333333,0.7833333333333333,0.861111111111111
CSIL,csil_official_repo,rx_3_19__seed_713101__new_1__csil_official_repo__k_1,3-19,713101,1,1,3,0a2648de41deaf6b60f3658b7b2ef26d712f51756c3d71748313f266869a7796,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.75
CSIL,csil_official_repo,rx_3_19__seed_713101__new_1__csil_official_repo__k_5,3-19,713101,1,5,3,09f0de4d37f74257eeb0f45d19e7b57ca6846d0b62b2dcd0a00ba1000b5463e6,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.8277777777777778
CSIL,csil_official_repo,rx_3_19__seed_713101__new_1__csil_official_repo__k_10,3-19,713101,1,10,3,cb08eac67f88a4048a78c75338038a22e8e87249244208423ef2ea65e2433c18,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.8444444444444444
CSIL,csil_official_repo,rx_3_19__seed_713101__new_1__csil_official_repo__k_20,3-19,713101,1,20,3,7120957cdd0af7c1e73b18b869022e5979a4c4ee7fc701169eef9061e330b76d,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.8388888888888889
CSIL,csil_official_repo,rx_3_19__seed_713101__new_3__csil_official_repo__k_1,3-19,713101,3,1,3,91ce8a9549331465820bb8ee65e8ac7afd98e3fb710228f7cf01df4bfe293fd3,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.7083333333333334
CSIL,csil_official_repo,rx_3_19__seed_713101__new_3__csil_official_repo__k_5,3-19,713101,3,5,3,70ca767e26469a74d2afec06b252825027b533cdf1de240abafb0cb8d26e04d4,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.8138888888888888
CSIL,csil_official_repo,rx_3_19__seed_713101__new_3__csil_official_repo__k_10,3-19,713101,3,10,3,80e5aa5cadfeef5fb0808cb3a8a32a46cf54987441606ec711e3049b390de253,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.8138888888888888
CSIL,csil_official_repo,rx_3_19__seed_713101__new_3__csil_official_repo__k_20,3-19,713101,3,20,3,03f12026c10455f262261259f1e8bfa94ec4c04f45ca6b465b02bbd1768778fb,0.725,0.0,0.3333333333333333,0.0,0.725,0.0,0.7333333333333333,0.8194444444444443
CSIL,csil_official_repo,rx_3_19__seed_713101__new_20__csil_official_repo__k_1,3-19,713101,20,1,3,d39a443a53195a0285eb5802c91803f869499f172b80674265056a4668b80ba5,0.725,0.725,0.0,0.0,0.0,0.55,0.7333333333333333,0.5083333333333333
CSIL,csil_official_repo,rx_3_19__seed_713101__new_20__csil_official_repo__k_5,3-19,713101,20,5,3,196fc19df5e619f6848de3d5ad669eec51712a0a471a44f992fd64bb91d97e93,0.725,0.0,0.04916666666666667,0.0,0.725,0.0,0.7333333333333333,0.7583333333333333
CSIL,csil_official_repo,rx_3_19__seed_713101__new_20__csil_official_repo__k_10,3-19,713101,20,10,3,bba7fec0278d9672eb10c2cea28aff3697e1c4a0dd04dcfc7417dcbdb529d7cd,0.725,0.0,0.049999999999999996,0.0,0.725,0.0,0.7333333333333333,0.7555555555555555
CSIL,csil_official_repo,rx_3_19__seed_713101__new_20__csil_official_repo__k_20,3-19,713101,20,20,3,93be7ac6ad630169f5190ae1dd012f1cd7a858edbf7c4d03784d732dea84a767,0.725,0.27499999999999997,0.065,0.10353511849547704,0.45,0.0,0.7333333333333333,0.775
CSIL,csil_official_repo,rx_3_19__seed_713102__new_1__csil_official_repo__k_1,3-19,713102,1,1,3,4b5cb664feb0ae8a613638153b830de3a327c794a8206c43d82db2d513e38494,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.7194444444444444
CSIL,csil_official_repo,rx_3_19__seed_713102__new_1__csil_official_repo__k_5,3-19,713102,1,5,3,a6cb9a75fbfc02e23e9e1fe1e161c203437f74ccc39587bb5ca73304efeaffff,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.7694444444444445
CSIL,csil_official_repo,rx_3_19__seed_713102__new_1__csil_official_repo__k_10,3-19,713102,1,10,3,cf05098681785ef65a1cea1215f02030bd57a604d017c257e28c80cab395edf5,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.85
CSIL,csil_official_repo,rx_3_19__seed_713102__new_1__csil_official_repo__k_20,3-19,713102,1,20,3,aabc73e8153bd7824a5399ef43875664f83db229f3d1f2cc1e6d1e3cd3572183,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.8666666666666667
CSIL,csil_official_repo,rx_3_19__seed_713102__new_3__csil_official_repo__k_1,3-19,713102,3,1,3,8c1f7e91cf4c503ee6fb2d3c7e66e878c2f7a476f83ee96a134355134fd01815,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.7138888888888889
CSIL,csil_official_repo,rx_3_19__seed_713102__new_3__csil_official_repo__k_5,3-19,713102,3,5,3,85a7b22e0f17e9f9507a7e0474c175b28a349e2ffaca7ab00adadd83e1d5e284,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.7472222222222222
CSIL,csil_official_repo,rx_3_19__seed_713102__new_3__csil_official_repo__k_10,3-19,713102,3,10,3,418433116aff908de16f25a737bb3746e9bff65ea419b1fc7f2a68824929af82,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.8416666666666667
CSIL,csil_official_repo,rx_3_19__seed_713102__new_3__csil_official_repo__k_20,3-19,713102,3,20,3,76e352649deb50dace84a5218d4078fc992545fa715849c7b99fc9ba0cf21272,0.7583333333333333,0.0,0.3333333333333333,0.0,0.7583333333333333,0.0,0.7333333333333333,0.85
CSIL,csil_official_repo,rx_3_19__seed_713102__new_20__csil_official_repo__k_1,3-19,713102,20,1,3,cfba6029cc54b8e0e78364596d2cce6a08ec5077ff49505e2f3170d2bd7e8323,0.7583333333333333,0.7583333333333333,0.0,0.0,0.0,0.55,0.7333333333333333,0.44166666666666665
CSIL,csil_official_repo,rx_3_19__seed_713102__new_20__csil_official_repo__k_5,3-19,713102,20,5,3,f30e209f5eb0b8c64f33e58cd253799b3333eac181aa262828db436933e6dbbd,0.7583333333333333,0.0,0.0525,0.0,0.7583333333333333,0.0,0.7333333333333333,0.7083333333333334
CSIL,csil_official_repo,rx_3_19__seed_713102__new_20__csil_official_repo__k_10,3-19,713102,20,10,3,8596a7503338bfcfea0cbd7ff2604985752e944b281daa1c265deed1409bebf9,0.7583333333333333,0.0,0.05416666666666667,0.0,0.7583333333333333,0.0,0.7333333333333333,0.7722222222222221
CSIL,csil_official_repo,rx_3_19__seed_713102__new_20__csil_official_repo__k_20,3-19,713102,20,20,3,1900e8e57ee778f2ec59d7e1d3e215fd41ece33414487c77b7a4a8332df5d541,0.7583333333333333,0.5277777777777778,0.04416666666666667,0.0798143063199708,0.2305555555555555,0.26666666666666666,0.7333333333333333,0.8277777777777778
CSIL,csil_official_repo,rx_3_19__seed_713103__new_1__csil_official_repo__k_1,3-19,713103,1,1,3,efb8481a02ab6aec9c211c7d139c77e4cdf7eba304b78179caa11c34e863c111,0.7833333333333333,0.7833333333333333,0.0,0.0,0.0,0.6,0.75,0.6861111111111112
CSIL,csil_official_repo,rx_3_19__seed_713103__new_1__csil_official_repo__k_5,3-19,713103,1,5,3,9a11000e2bc8c28655a79852c96031ea3721a7cfedc93013b02faff8b51c9592,0.7833333333333333,0.7833333333333333,0.0,0.0,0.0,0.6,0.75,0.8972222222222223
