arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A4,A3+单参数tangent,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.90416666666667,17257,24000
A4,A3+单参数tangent,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.09583333333333,18983,24000
A4,A3+单参数tangent,leo_rain_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.06666666666666,17056,24000
A5,A3+协方差随机方向tangent,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",80.91666666666667,19420,24000
A5,A3+协方差随机方向tangent,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.04583333333333,18491,24000
A5,A3+协方差随机方向tangent,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",92.0875,22101,24000
A5,A3+协方差随机方向tangent,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",68.19166666666666,16366,24000
A5,A3+协方差随机方向tangent,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.15,19476,24000
A5,A3+协方差随机方向tangent,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",90.91666666666667,21820,24000
A5,A3+协方差随机方向tangent,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.05416666666666,18493,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.25,18540,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",63.55833333333333,15254,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",84.85833333333333,20366,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.6125,15027,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.04583333333333,16811,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.05416666666666,19693,24000
A5,A3+协方差随机方向tangent,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.35416666666667,16885,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.96666666666667,17992,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",61.75833333333333,14822,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.4625,20031,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",61.708333333333336,14810,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.05416666666666,16813,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.72916666666667,19135,24000
A5,A3+协方差随机方向tangent,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",69.65416666666667,16717,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.05,18012,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.425,14982,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.55416666666666,20053,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.27916666666667,14947,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.49583333333334,16919,24000
A5,A3+协方差随机方向tangent,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.88333333333334,18932,24000
