candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A3,clean,RX_TX,0:2,4000,2944,0.736,3487,0.87175,2812,0.8064238600516203
A3,clean,RX_TX,0:3,4000,3850,0.9625,3862,0.9655,3779,0.9785085447954428
A3,clean,RX_TX,0:4,4000,3985,0.99625,3984,0.996,3979,0.9987449799196787
A3,clean,RX_TX,0:5,4000,3735,0.93375,3763,0.94075,3636,0.9662503321817698
A3,clean,RX_TX,2:0,4000,3561,0.89025,3789,0.94725,3456,0.9121140142517815
A3,clean,RX_TX,2:1,4000,2350,0.5875,3552,0.888,2096,0.5900900900900901
A3,clean,RX_TX,2:2,4000,1215,0.30375,2650,0.6625,947,0.35735849056603775
A3,clean,RX_TX,2:3,4000,93,0.02325,3702,0.9255,51,0.013776337115072933
A3,clean,RX_TX,2:4,4000,3996,0.999,3997,0.99925,3995,0.9994996247185389
A3,clean,RX_TX,2:5,4000,3859,0.96475,3819,0.95475,3770,0.9871694160775072
A3,clean,RX_TX,5:0,4000,3222,0.8055,3699,0.92475,3117,0.8426601784266018
A3,clean,RX_TX,5:1,4000,2462,0.6155,3408,0.852,2092,0.613849765258216
A3,clean,RX_TX,5:2,4000,3515,0.87875,3530,0.8825,3346,0.9478753541076487
A3,clean,RX_TX,5:3,4000,3105,0.77625,3703,0.92575,2991,0.8077234674588172
A3,clean,RX_TX,5:4,4000,3997,0.99925,3998,0.9995,3997,0.9997498749374687
A3,clean,RX_TX,5:5,4000,3978,0.9945,3980,0.995,3968,0.9969849246231156
A3,clean,RX_TX,7:0,4000,3635,0.90875,3828,0.957,3543,0.9255485893416928
A3,clean,RX_TX,7:1,4000,2378,0.5945,3698,0.9245,2199,0.5946457544618713
A3,clean,RX_TX,7:2,4000,1933,0.48325,2702,0.6755,1835,0.6791265729089563
A3,clean,RX_TX,7:3,4000,1661,0.41525,3805,0.95125,1585,0.41655716162943496
A3,clean,RX_TX,7:4,4000,3983,0.99575,3969,0.99225,3960,0.9977324263038548
A3,clean,RX_TX,7:5,4000,3388,0.847,3802,0.9505,3325,0.8745397159389795
A3,clean,RX_TX,9:0,4000,3438,0.8595,3946,0.9865,3413,0.8649265078560567
