scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_clear_weak,20,DA0_REG1,old,1,0.85,2.1291493750120782,20
leo_clear_weak,20,DA0_REG1,old,2,0.7,1.9656096436880564,20
leo_clear_weak,20,DA0_REG1,old,3,0.7,1.9792041337790447,20
leo_clear_weak,20,DA0_REG1,old,4,0.9,2.178333249416751,20
leo_clear_weak,20,DA0_REG1,old,5,1.0,1.3645695484272993,20
leo_clear_weak,20,DA0_REG1,new,10,0.75,2.4325728543034844,20
leo_clear_weak,20,DA0_REG1,new,11,0.85,0.8410342117561056,20
leo_clear_weak,20,DA0_REG1,new,12,0.7,2.064566708942957,20
leo_clear_weak,20,DA0_REG1,new,13,1.0,1.7329783132559906,20
leo_clear_weak,20,DA0_REG1,new,14,0.95,1.3955812656796742,20
leo_clear_weak,20,DA0_REG1,new,15,0.6,2.437314944498294,20
leo_clear_weak,20,DA0_REG1,new,16,0.6,1.8400613935373502,20
leo_clear_weak,20,DA0_REG1,new,17,1.0,0.90320845116284,20
leo_clear_weak,20,DA0_REG1,new,18,0.75,2.260918343644607,20
leo_clear_weak,20,DA0_REG1,new,19,1.0,1.499530284676823,20
leo_clear_weak,20,DA0_REG1,new,20,0.7,2.212933020260252,20
leo_clear_weak,20,DA0_REG1,new,21,0.65,1.6511753058778567,20
leo_clear_weak,20,DA0_REG1,new,22,0.65,1.9726255825043322,20
leo_clear_weak,20,DA0_REG1,new,23,0.85,2.1484550632524746,20
leo_clear_weak,20,DA0_REG1,new,24,0.65,2.2967879932301107,20
leo_clear_weak,20,DA0_REG1,new,25,0.55,2.5233038398583867,20
leo_clear_weak,20,DA0_REG1,new,6,0.7,2.2692164439931415,20
leo_clear_weak,20,DA0_REG1,new,7,1.0,1.4552509219498146,20
leo_clear_weak,20,DA0_REG1,new,8,0.6,2.5902683569781515,20
leo_clear_weak,20,DA0_REG1,new,9,0.8,2.1985548538476354,20
leo_clear_weak,20,DA1_REG1,old,0,0.9,1.7277356079157997,20
leo_clear_weak,20,DA1_REG1,old,1,0.85,2.1283995925620514,20
leo_clear_weak,20,DA1_REG1,old,2,0.7,1.9652326282747459,20
leo_clear_weak,20,DA1_REG1,old,3,0.7,1.979514389991166,20
leo_clear_weak,20,DA1_REG1,old,4,0.9,2.177329753759282,20
leo_clear_weak,20,DA1_REG1,old,5,1.0,1.3698616252385427,20
leo_clear_weak,20,DA1_REG1,new,10,0.75,2.435191255251519,20
leo_clear_weak,20,DA1_REG1,new,11,0.85,0.8436452376008509,20
leo_clear_weak,20,DA1_REG1,new,12,0.7,2.060370298090875,20
leo_clear_weak,20,DA1_REG1,new,13,1.0,1.7323395053728525,20
leo_clear_weak,20,DA1_REG1,new,14,0.95,1.3959237301261,20
leo_clear_weak,20,DA1_REG1,new,15,0.6,2.4369881611372826,20
leo_clear_weak,20,DA1_REG1,new,16,0.6,1.8426142410137447,20
leo_clear_weak,20,DA1_REG1,new,17,1.0,0.9079518923504306,20
leo_clear_weak,20,DA1_REG1,new,18,0.75,2.259612604406058,20
leo_clear_weak,20,DA1_REG1,new,19,1.0,1.500391181095812,20
leo_clear_weak,20,DA1_REG1,new,20,0.7,2.212355952249386,20
leo_clear_weak,20,DA1_REG1,new,21,0.65,1.6502665184061052,20
leo_clear_weak,20,DA1_REG1,new,22,0.65,1.9732158622884328,20
leo_clear_weak,20,DA1_REG1,new,23,0.85,2.1497057686191696,20
leo_clear_weak,20,DA1_REG1,new,24,0.65,2.295762397608322,20
leo_clear_weak,20,DA1_REG1,new,25,0.55,2.5200881586510873,20
leo_clear_weak,20,DA1_REG1,new,6,0.7,2.2700136386616663,20
leo_clear_weak,20,DA1_REG1,new,7,1.0,1.4506255645072923,20
leo_clear_weak,20,DA1_REG1,new,8,0.6,2.585451657388971,20
leo_clear_weak,20,DA1_REG1,new,9,0.8,2.1989333017691033,20
leo_low_elev_weak,1,DA0_REG0,old,0,0.9,0.9118016186774346,20
leo_low_elev_weak,1,DA0_REG0,old,1,0.9,1.2537459335598444,20
leo_low_elev_weak,1,DA0_REG0,old,2,0.95,0.842301310401013,20
leo_low_elev_weak,1,DA0_REG0,old,3,0.9,0.8552670792155587,20
leo_low_elev_weak,1,DA0_REG0,old,4,0.9,0.972052035192519,20
leo_low_elev_weak,1,DA0_REG0,old,5,0.9,0.646847822840164,20
leo_low_elev_weak,1,DA1_REG0,old,0,0.95,0.7707205403675241,20
leo_low_elev_weak,1,DA1_REG0,old,1,0.8,1.2286274311100958,20
leo_low_elev_weak,1,DA1_REG0,old,2,1.0,0.8608167861761629,20
leo_low_elev_weak,1,DA1_REG0,old,3,0.9,0.9122320068349955,20
leo_low_elev_weak,1,DA1_REG0,old,4,0.95,0.8780803318582526,20
leo_low_elev_weak,1,DA1_REG0,old,5,0.9,0.6505594631777147,20
leo_low_elev_weak,1,DA0_REG1,old,0,0.85,0.9710740818712631,20
leo_low_elev_weak,1,DA0_REG1,old,1,0.9,1.318604779984262,20
leo_low_elev_weak,1,DA0_REG1,old,2,1.0,0.8817241262419646,20
leo_low_elev_weak,1,DA0_REG1,old,3,0.9,0.9151563342885656,20
leo_low_elev_weak,1,DA0_REG1,old,4,0.7,1.2134001703810031,20
leo_low_elev_weak,1,DA0_REG1,old,5,0.85,0.721332543475098,20
leo_low_elev_weak,1,DA0_REG1,new,6,1.0,0.8689565478239054,20
leo_low_elev_weak,1,DA1_REG1,old,0,0.85,0.9707640329249111,20
leo_low_elev_weak,1,DA1_REG1,old,1,0.9,1.3184843628350873,20
leo_low_elev_weak,1,DA1_REG1,old,2,1.0,0.8820244593249422,20
leo_low_elev_weak,1,DA1_REG1,old,3,0.9,0.9139681427405124,20
