scenario,new_class_count,state,old_acc,old_floor,seen_new_acc,new_floor,H_old_new,registered_acc,registered_floor,registered_nll,registered_ece10,old_nll,old_ece10,query_rows
leo_low_elev_weak,3,DA1_REG1,0.8416666666666667,0.8,0.8333333333333334,0.8,0.8374792703150913,0.8388888888888889,0.8,1.19893412361905,0.480503144309241,1.2103178315429104,0.4803633720315931,180
leo_low_elev_weak,5,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692986565697,0.45336198432989877,0.9136692986565697,0.45336198432989877,220
leo_low_elev_weak,5,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060926889049,0.45650084224916976,0.8835060926889049,0.45650084224916976,220
leo_low_elev_weak,5,DA0_REG1,0.775,0.6,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.42364543865018,0.4640891563762838,1.3766069734536817,0.45481835997515646,220
leo_low_elev_weak,5,DA1_REG1,0.7666666666666667,0.6,0.76,0.6,0.7633187772925764,0.7636363636363637,0.6,1.4222713807285934,0.45928546762320577,1.375014844996748,0.4461741562269391,220
leo_low_elev_weak,10,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692986565697,0.45336198432989877,0.9136692986565697,0.45336198432989877,320
leo_low_elev_weak,10,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060926889049,0.45650084224916976,0.8835060926889049,0.45650084224916976,320
leo_low_elev_weak,10,DA0_REG1,0.7,0.45,0.68,0.4,0.6898550724637681,0.6875,0.4,1.7683864008359353,0.4603527569938563,1.6880252473867012,0.46644586967626006,320
leo_low_elev_weak,10,DA1_REG1,0.7,0.45,0.68,0.4,0.6898550724637681,0.6875,0.4,1.7689094268362837,0.46052852288772717,1.6879737849514223,0.4666892279796043,320
leo_low_elev_weak,15,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692950772727,0.4533619829148401,0.9136692950772727,0.4533619829148401,420
leo_low_elev_weak,15,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835061003774378,0.4565008465832567,0.8835061003774378,0.4565008465832567,420
leo_low_elev_weak,15,DA0_REG1,0.725,0.45,0.67,0.5,0.696415770609319,0.6857142857142857,0.45,1.9330898028920458,0.48729993298398827,1.8982964440392296,0.5427700730834188,420
leo_low_elev_weak,15,DA1_REG1,0.725,0.45,0.6766666666666666,0.5,0.7,0.6904761904761905,0.45,1.9340657236870977,0.49229216013799454,1.8992292579956858,0.543111762569521,420
leo_low_elev_weak,20,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136693012228981,0.4533619855623815,0.9136693012228981,0.4533619855623815,520
leo_low_elev_weak,20,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060916026981,0.45650084277883696,0.8835060916026981,0.45650084277883696,520
leo_low_elev_weak,20,DA0_REG1,0.7083333333333334,0.45,0.595,0.4,0.6467391304347826,0.6211538461538462,0.4,2.138581602946599,0.44874564722884597,2.045239557189916,0.5360473680303193,520
leo_low_elev_weak,20,DA1_REG1,0.7166666666666667,0.45,0.5925,0.4,0.6486950986632719,0.6211538461538462,0.4,2.1387266059939067,0.4488225109954518,2.0451922515922187,0.5444679479134187,520
leo_rain_weak,1,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.9015680934334483,0.36732467131748797,0.9015680934334483,0.36732467131748797,140
leo_rain_weak,1,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985928004304523,0.3588021363404072,0.8985928004304523,0.3588021363404072,140
leo_rain_weak,1,DA0_REG1,0.7666666666666667,0.5,1.0,1.0,0.8679245283018869,0.8,0.5,0.9921111679827017,0.381503310405351,1.0220593841031904,0.35385240939396995,140
leo_rain_weak,1,DA1_REG1,0.7666666666666667,0.5,0.95,0.95,0.8485436893203884,0.7928571428571428,0.5,0.9918818342643478,0.3771045528369952,1.015343858633639,0.35469375878996723,140
leo_rain_weak,2,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.9015680934334483,0.36732467131748797,0.9015680934334483,0.36732467131748797,160
leo_rain_weak,2,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985928004304523,0.3588021363404072,0.8985928004304523,0.3588021363404072,160
leo_rain_weak,2,DA0_REG1,0.7666666666666667,0.5,0.975,0.95,0.8583732057416268,0.81875,0.5,1.0314952871323175,0.41827756492120766,1.089279361985706,0.38002486179151823,160
leo_rain_weak,2,DA1_REG1,0.775,0.5,0.975,0.95,0.8635714285714285,0.825,0.5,1.029885122591234,0.42359423071946295,1.0880968478956177,0.38755851057304447,160
leo_rain_weak,3,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.9015680934334483,0.36732467131748797,0.9015680934334483,0.36732467131748797,180
leo_rain_weak,3,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985928004304523,0.3588021363404072,0.8985928004304523,0.3588021363404072,180
leo_rain_weak,3,DA0_REG1,0.7833333333333333,0.6,0.8833333333333333,0.75,0.8303333333333333,0.8166666666666667,0.6,1.1743152156810506,0.4650000114578041,1.176073589552367,0.4238352013440242,180
leo_rain_weak,3,DA1_REG1,0.775,0.6,0.8833333333333333,0.7,0.8256281407035176,0.8111111111111111,0.6,1.1730252273091097,0.458921260036974,1.1754517536195996,0.41515122396035237,180
leo_rain_weak,5,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.901568093043517,0.36732466810829123,0.901568093043517,0.36732466810829123,220
leo_rain_weak,5,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985927993494999,0.35880213615268847,0.8985927993494999,0.35880213615268847,220
leo_rain_weak,5,DA0_REG1,0.7166666666666667,0.45,0.79,0.6,0.7515486725663717,0.75,0.45,1.35146029672523,0.4428178038514381,1.3264378467980296,0.3958708102759802,220
leo_rain_weak,5,DA1_REG1,0.725,0.45,0.79,0.6,0.7561056105610561,0.7545454545454545,0.45,1.3506542740373169,0.44706763328365584,1.32633319705561,0.4040295190685674,220
leo_rain_weak,10,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.901568093043517,0.36732466810829123,0.901568093043517,0.36732466810829123,320
leo_rain_weak,10,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985927993494999,0.35880213615268847,0.8985927993494999,0.35880213615268847,320
leo_rain_weak,10,DA0_REG1,0.7,0.5,0.735,0.55,0.7170731707317072,0.721875,0.5,1.8390573879525784,0.5138435595013726,1.8099904243405756,0.5161406154098108,320
leo_rain_weak,10,DA1_REG1,0.7,0.5,0.735,0.55,0.7170731707317072,0.721875,0.5,1.8429721049537058,0.5145891244425004,1.8146560579339748,0.5171719217532403,320
leo_rain_weak,15,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.9015680948420037,0.36732466949679526,0.9015680948420037,0.36732466949679526,420
leo_rain_weak,15,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985928019246369,0.35880213717337217,0.8985928019246369,0.35880213717337217,420
leo_rain_weak,15,DA0_REG1,0.6916666666666667,0.45,0.6466666666666666,0.35,0.6684101286841012,0.6595238095238095,0.35,2.0819114477783454,0.4846750095394494,2.0187546520744957,0.5421271157730257,420
leo_rain_weak,15,DA1_REG1,0.6916666666666667,0.45,0.6466666666666666,0.35,0.6684101286841012,0.6595238095238095,0.35,2.08525444793532,0.48471198688597944,2.0219622066041887,0.5426356177019421,420
leo_rain_weak,20,DA0_REG0,0.825,0.55,,,,0.825,0.55,0.9015681657344561,0.36732471281935813,0.9015681657344561,0.36732471281935813,520
leo_rain_weak,20,DA1_REG0,0.8166666666666667,0.55,,,,0.8166666666666667,0.55,0.8985928681006552,0.35880217930853253,0.8985928681006552,0.35880217930853253,520
leo_rain_weak,20,DA0_REG1,0.675,0.4,0.5925,0.3,0.6310650887573965,0.6115384615384616,0.3,2.290360277379098,0.45936944541496233,2.163755948261605,0.5425651556734175,520
leo_rain_weak,20,DA1_REG1,0.6666666666666666,0.4,0.595,0.3,0.6287978863936591,0.6115384615384616,0.3,2.292402568690319,0.45986587593791933,2.165906516249392,0.5345359647961652,520
