row,scene,true_tx,predicted_tx,count
M10,leo_low_elev_weak,3,2,950
M10,leo_low_elev_weak,3,3,16628
M10,leo_low_elev_weak,3,4,262
M10,leo_low_elev_weak,3,5,124
M10,leo_low_elev_weak,4,0,31
M10,leo_low_elev_weak,4,1,525
M10,leo_low_elev_weak,4,2,267
M10,leo_low_elev_weak,4,3,1209
M10,leo_low_elev_weak,4,4,25933
M10,leo_low_elev_weak,4,5,35
M10,leo_low_elev_weak,5,0,103
M10,leo_low_elev_weak,5,1,384
M10,leo_low_elev_weak,5,2,413
M10,leo_low_elev_weak,5,3,18
M10,leo_low_elev_weak,5,4,2963
M10,leo_low_elev_weak,5,5,24119
M10,leo_rain_weak,0,0,20892
M10,leo_rain_weak,0,1,2047
M10,leo_rain_weak,0,2,185
M10,leo_rain_weak,0,3,4694
M10,leo_rain_weak,0,4,162
M10,leo_rain_weak,0,5,20
M10,leo_rain_weak,1,0,1536
M10,leo_rain_weak,1,1,8912
M10,leo_rain_weak,1,2,69
M10,leo_rain_weak,1,3,16875
M10,leo_rain_weak,1,4,572
M10,leo_rain_weak,1,5,36
M10,leo_rain_weak,2,0,1475
M10,leo_rain_weak,2,1,1475
M10,leo_rain_weak,2,2,16422
M10,leo_rain_weak,2,3,2532
M10,leo_rain_weak,2,4,2308
M10,leo_rain_weak,2,5,3788
M10,leo_rain_weak,3,0,4343
M10,leo_rain_weak,3,1,5819
M10,leo_rain_weak,3,2,978
M10,leo_rain_weak,3,3,16457
M10,leo_rain_weak,3,4,252
M10,leo_rain_weak,3,5,151
M10,leo_rain_weak,4,0,34
M10,leo_rain_weak,4,1,578
M10,leo_rain_weak,4,2,258
M10,leo_rain_weak,4,3,1226
M10,leo_rain_weak,4,4,25857
M10,leo_rain_weak,4,5,47
M10,leo_rain_weak,5,0,92
M10,leo_rain_weak,5,1,432
M10,leo_rain_weak,5,2,374
M10,leo_rain_weak,5,3,14
M10,leo_rain_weak,5,4,2723
M10,leo_rain_weak,5,5,24365
F-M14,clean,0,0,25459
F-M14,clean,0,1,315
F-M14,clean,0,2,96
F-M14,clean,0,3,2095
F-M14,clean,0,4,26
F-M14,clean,0,5,9
F-M14,clean,1,0,565
F-M14,clean,1,1,12254
F-M14,clean,1,2,47
F-M14,clean,1,3,15058
F-M14,clean,1,4,68
F-M14,clean,1,5,8
F-M14,clean,2,0,1707
F-M14,clean,2,1,1476
F-M14,clean,2,2,18933
F-M14,clean,2,3,2000
F-M14,clean,2,4,241
F-M14,clean,2,5,3643
F-M14,clean,3,0,1635
F-M14,clean,3,1,6267
F-M14,clean,3,2,558
F-M14,clean,3,3,19464
F-M14,clean,3,4,25
F-M14,clean,3,5,51
F-M14,clean,4,0,5
F-M14,clean,4,1,14
F-M14,clean,4,2,46
F-M14,clean,4,3,6
F-M14,clean,4,4,27923
F-M14,clean,4,5,6
F-M14,clean,5,0,44
F-M14,clean,5,1,93
F-M14,clean,5,2,150
F-M14,clean,5,3,10
F-M14,clean,5,4,3568
F-M14,clean,5,5,24135
F-M14,leo_clear_weak,0,0,20034
F-M14,leo_clear_weak,0,1,1518
F-M14,leo_clear_weak,0,2,147
F-M14,leo_clear_weak,0,3,6196
F-M14,leo_clear_weak,0,4,89
F-M14,leo_clear_weak,0,5,16
F-M14,leo_clear_weak,1,0,1092
F-M14,leo_clear_weak,1,1,8441
F-M14,leo_clear_weak,1,2,63
F-M14,leo_clear_weak,1,3,18033
F-M14,leo_clear_weak,1,4,353
F-M14,leo_clear_weak,1,5,18
F-M14,leo_clear_weak,2,0,1937
F-M14,leo_clear_weak,2,1,1254
F-M14,leo_clear_weak,2,2,16662
F-M14,leo_clear_weak,2,3,3014
F-M14,leo_clear_weak,2,4,1729
F-M14,leo_clear_weak,2,5,3404
F-M14,leo_clear_weak,3,0,2658
F-M14,leo_clear_weak,3,1,5948
F-M14,leo_clear_weak,3,2,1046
F-M14,leo_clear_weak,3,3,18084
F-M14,leo_clear_weak,3,4,115
F-M14,leo_clear_weak,3,5,149
F-M14,leo_clear_weak,4,0,7
F-M14,leo_clear_weak,4,1,979
F-M14,leo_clear_weak,4,2,179
F-M14,leo_clear_weak,4,3,714
F-M14,leo_clear_weak,4,4,26104
F-M14,leo_clear_weak,4,5,17
F-M14,leo_clear_weak,5,0,68
F-M14,leo_clear_weak,5,1,538
F-M14,leo_clear_weak,5,2,296
F-M14,leo_clear_weak,5,3,25
F-M14,leo_clear_weak,5,4,3833
F-M14,leo_clear_weak,5,5,23240
F-M14,leo_low_elev_weak,0,0,19626
F-M14,leo_low_elev_weak,0,1,1803
F-M14,leo_low_elev_weak,0,2,171
F-M14,leo_low_elev_weak,0,3,6171
F-M14,leo_low_elev_weak,0,4,208
F-M14,leo_low_elev_weak,0,5,21
F-M14,leo_low_elev_weak,1,0,1414
F-M14,leo_low_elev_weak,1,1,8189
F-M14,leo_low_elev_weak,1,2,80
F-M14,leo_low_elev_weak,1,3,17665
F-M14,leo_low_elev_weak,1,4,627
F-M14,leo_low_elev_weak,1,5,25
F-M14,leo_low_elev_weak,2,0,2101
F-M14,leo_low_elev_weak,2,1,1488
F-M14,leo_low_elev_weak,2,2,15849
F-M14,leo_low_elev_weak,2,3,2941
F-M14,leo_low_elev_weak,2,4,1903
F-M14,leo_low_elev_weak,2,5,3718
F-M14,leo_low_elev_weak,3,0,3538
F-M14,leo_low_elev_weak,3,1,6081
F-M14,leo_low_elev_weak,3,2,1012
F-M14,leo_low_elev_weak,3,3,16892
F-M14,leo_low_elev_weak,3,4,327
F-M14,leo_low_elev_weak,3,5,150
F-M14,leo_low_elev_weak,4,0,27
F-M14,leo_low_elev_weak,4,1,1094
F-M14,leo_low_elev_weak,4,2,185
F-M14,leo_low_elev_weak,4,3,1205
F-M14,leo_low_elev_weak,4,4,25460
F-M14,leo_low_elev_weak,4,5,29
F-M14,leo_low_elev_weak,5,0,178
F-M14,leo_low_elev_weak,5,1,586
F-M14,leo_low_elev_weak,5,2,327
F-M14,leo_low_elev_weak,5,3,40
F-M14,leo_low_elev_weak,5,4,3789
F-M14,leo_low_elev_weak,5,5,23080
F-M14,leo_rain_weak,0,0,20237
F-M14,leo_rain_weak,0,1,1811
F-M14,leo_rain_weak,0,2,184
F-M14,leo_rain_weak,0,3,5576
F-M14,leo_rain_weak,0,4,170
F-M14,leo_rain_weak,0,5,22
F-M14,leo_rain_weak,1,0,1894
F-M14,leo_rain_weak,1,1,8385
F-M14,leo_rain_weak,1,2,90
F-M14,leo_rain_weak,1,3,17002
F-M14,leo_rain_weak,1,4,595
F-M14,leo_rain_weak,1,5,34
F-M14,leo_rain_weak,2,0,2182
F-M14,leo_rain_weak,2,1,1529
F-M14,leo_rain_weak,2,2,15933
F-M14,leo_rain_weak,2,3,2882
F-M14,leo_rain_weak,2,4,1808
F-M14,leo_rain_weak,2,5,3666
F-M14,leo_rain_weak,3,0,3837
F-M14,leo_rain_weak,3,1,6038
F-M14,leo_rain_weak,3,2,1068
F-M14,leo_rain_weak,3,3,16566
F-M14,leo_rain_weak,3,4,323
F-M14,leo_rain_weak,3,5,168
F-M14,leo_rain_weak,4,0,27
F-M14,leo_rain_weak,4,1,1133
F-M14,leo_rain_weak,4,2,188
F-M14,leo_rain_weak,4,3,1327
F-M14,leo_rain_weak,4,4,25285
F-M14,leo_rain_weak,4,5,40
F-M14,leo_rain_weak,5,0,173
F-M14,leo_rain_weak,5,1,567
F-M14,leo_rain_weak,5,2,309
F-M14,leo_rain_weak,5,3,38
F-M14,leo_rain_weak,5,4,3658
F-M14,leo_rain_weak,5,5,23255
F-M11,clean,0,0,25985
F-M11,clean,0,1,432
F-M11,clean,0,2,103
F-M11,clean,0,3,1447
F-M11,clean,0,4,24
F-M11,clean,0,5,9
F-M11,clean,1,0,403
F-M11,clean,1,1,13090
F-M11,clean,1,2,10
F-M11,clean,1,3,14403
F-M11,clean,1,4,87
F-M11,clean,1,5,7
F-M11,clean,2,0,1798
F-M11,clean,2,1,1168
F-M11,clean,2,2,18755
F-M11,clean,2,3,2146
F-M11,clean,2,4,206
F-M11,clean,2,5,3927
F-M11,clean,3,0,2000
F-M11,clean,3,1,6300
F-M11,clean,3,2,742
F-M11,clean,3,3,18879
F-M11,clean,3,4,26
F-M11,clean,3,5,53
F-M11,clean,4,0,4
F-M11,clean,4,1,13
F-M11,clean,4,2,9
F-M11,clean,4,3,5
F-M11,clean,4,4,27965
F-M11,clean,4,5,4
F-M11,clean,5,0,24
F-M11,clean,5,1,105
F-M11,clean,5,2,130
F-M11,clean,5,3,29
F-M11,clean,5,4,1890
F-M11,clean,5,5,25822
F-M11,leo_clear_weak,0,0,23065
F-M11,leo_clear_weak,0,1,1594
