row,scene,scope,group,correct,total,accuracy
M00,leo_clear_weak,rx_tx,2:1,123,4000,0.03075
M00,leo_clear_weak,rx_tx,2:2,1739,4000,0.43475
M00,leo_clear_weak,rx_tx,2:3,455,4000,0.11375
M00,leo_clear_weak,rx_tx,2:4,3440,4000,0.86
M00,leo_clear_weak,rx_tx,2:5,3526,4000,0.8815
M00,leo_clear_weak,rx_tx,5:0,2223,4000,0.55575
M00,leo_clear_weak,rx_tx,5:1,1203,4000,0.30075
M00,leo_clear_weak,rx_tx,5:2,3184,4000,0.796
M00,leo_clear_weak,rx_tx,5:3,3349,4000,0.83725
M00,leo_clear_weak,rx_tx,5:4,3920,4000,0.98
M00,leo_clear_weak,rx_tx,5:5,3951,4000,0.98775
M00,leo_clear_weak,rx_tx,7:0,2185,4000,0.54625
M00,leo_clear_weak,rx_tx,7:1,1083,4000,0.27075
M00,leo_clear_weak,rx_tx,7:2,1528,4000,0.382
M00,leo_clear_weak,rx_tx,7:3,1763,4000,0.44075
M00,leo_clear_weak,rx_tx,7:4,1683,4000,0.42075
M00,leo_clear_weak,rx_tx,7:5,3417,4000,0.85425
M00,leo_clear_weak,rx_tx,9:0,2747,4000,0.68675
M00,leo_clear_weak,rx_tx,9:1,643,4000,0.16075
M00,leo_clear_weak,rx_tx,9:2,2932,4000,0.733
M00,leo_clear_weak,rx_tx,9:3,3919,4000,0.97975
M00,leo_clear_weak,rx_tx,9:4,3977,4000,0.99425
M00,leo_clear_weak,rx_tx,9:5,3254,4000,0.8135
M00,leo_clear_weak,scene,all,106668,168000,0.6349285714285714
M00,leo_clear_weak,tx,0,17050,28000,0.6089285714285714
M00,leo_clear_weak,tx,1,6110,28000,0.21821428571428572
M00,leo_clear_weak,tx,2,15471,28000,0.5525357142857142
M00,leo_clear_weak,tx,3,18994,28000,0.6783571428571429
M00,leo_clear_weak,tx,4,23609,28000,0.8431785714285714
M00,leo_clear_weak,tx,5,25434,28000,0.9083571428571429
M00,leo_low_elev_weak,day,0,24904,42000,0.5929523809523809
M00,leo_low_elev_weak,day,1,26717,42000,0.6361190476190476
M00,leo_low_elev_weak,day,2,25546,42000,0.6082380952380952
M00,leo_low_elev_weak,day,3,26951,42000,0.6416904761904761
M00,leo_low_elev_weak,rx,0,16050,24000,0.66875
M00,leo_low_elev_weak,rx,10,15813,24000,0.658875
M00,leo_low_elev_weak,rx,11,15198,24000,0.63325
M00,leo_low_elev_weak,rx,2,11195,24000,0.4664583333333333
M00,leo_low_elev_weak,rx,5,17470,24000,0.7279166666666667
M00,leo_low_elev_weak,rx,7,11178,24000,0.46575
M00,leo_low_elev_weak,rx,9,17214,24000,0.71725
M00,leo_low_elev_weak,rx_day,0:0,3447,6000,0.5745
M00,leo_low_elev_weak,rx_day,0:1,4295,6000,0.7158333333333333
M00,leo_low_elev_weak,rx_day,0:2,4266,6000,0.711
M00,leo_low_elev_weak,rx_day,0:3,4042,6000,0.6736666666666666
M00,leo_low_elev_weak,rx_day,10:0,4252,6000,0.7086666666666667
M00,leo_low_elev_weak,rx_day,10:1,3956,6000,0.6593333333333333
M00,leo_low_elev_weak,rx_day,10:2,3484,6000,0.5806666666666667
M00,leo_low_elev_weak,rx_day,10:3,4121,6000,0.6868333333333333
M00,leo_low_elev_weak,rx_day,11:0,3901,6000,0.6501666666666667
M00,leo_low_elev_weak,rx_day,11:1,3843,6000,0.6405
M00,leo_low_elev_weak,rx_day,11:2,3553,6000,0.5921666666666666
M00,leo_low_elev_weak,rx_day,11:3,3901,6000,0.6501666666666667
M00,leo_low_elev_weak,rx_day,2:0,2354,6000,0.3923333333333333
M00,leo_low_elev_weak,rx_day,2:1,2777,6000,0.4628333333333333
M00,leo_low_elev_weak,rx_day,2:2,2927,6000,0.48783333333333334
M00,leo_low_elev_weak,rx_day,2:3,3137,6000,0.5228333333333334
M00,leo_low_elev_weak,rx_day,5:0,3910,6000,0.6516666666666666
M00,leo_low_elev_weak,rx_day,5:1,4820,6000,0.8033333333333333
M00,leo_low_elev_weak,rx_day,5:2,4699,6000,0.7831666666666667
M00,leo_low_elev_weak,rx_day,5:3,4041,6000,0.6735
M00,leo_low_elev_weak,rx_day,7:0,3323,6000,0.5538333333333333
M00,leo_low_elev_weak,rx_day,7:1,2543,6000,0.42383333333333334
M00,leo_low_elev_weak,rx_day,7:2,2354,6000,0.3923333333333333
M00,leo_low_elev_weak,rx_day,7:3,2958,6000,0.493
M00,leo_low_elev_weak,rx_day,9:0,3717,6000,0.6195
M00,leo_low_elev_weak,rx_day,9:1,4483,6000,0.7471666666666666
M00,leo_low_elev_weak,rx_day,9:2,4263,6000,0.7105
M00,leo_low_elev_weak,rx_day,9:3,4751,6000,0.7918333333333333
M00,leo_low_elev_weak,rx_tx,0:0,2903,4000,0.72575
M00,leo_low_elev_weak,rx_tx,0:1,732,4000,0.183
M00,leo_low_elev_weak,rx_tx,0:2,2466,4000,0.6165
