reference_arm,receiver,seed,k_shot,current_old_acc,reference_old_acc,delta_old_acc,current_seen_new_acc,reference_seen_new_acc,delta_seen_new_acc,current_H_old_new,reference_H_old_new,delta_H_old_new
full_legacy_oracle_strict,3-19,713105,5,0.6833333333333335,0.763888888888889,-0.08055555555555549,0.5499999999999999,0.8833333333333333,-0.33333333333333337,0.5999697348575057,0.8187542008961911,-0.2187844660386854
singleview_fft96_strict,3-19,713105,5,0.6833333333333335,0.6277777777777778,0.05555555555555569,0.5499999999999999,0.3833333333333333,0.16666666666666663,0.5999697348575057,0.47065925923396584,0.12931047562353987
full_legacy_oracle_strict,7-14,713101,1,0.8555555555555555,0.8722222222222222,-0.01666666666666672,0.5666666666666665,0.9666666666666667,-0.40000000000000013,0.675610788024247,0.9161651372858269,-0.24055434926157993
singleview_fft96_strict,7-14,713101,1,0.8555555555555555,0.8055555555555557,0.04999999999999982,0.5666666666666665,0.5333333333333333,0.033333333333333215,0.675610788024247,0.6373831851117343,0.038227602912512704
full_legacy_oracle_strict,7-14,713101,10,0.9138888888888889,0.9416666666666665,-0.02777777777777768,0.7166666666666667,1.0,-0.2833333333333333,0.8030665104776779,0.9698680392482428,-0.16680152877056498
singleview_fft96_strict,7-14,713101,10,0.9138888888888889,0.8972222222222223,0.016666666666666607,0.7166666666666667,0.8250000000000001,-0.10833333333333339,0.8030665104776779,0.8571995256170871,-0.05413301513940927
full_legacy_oracle_strict,7-14,713101,2,0.9111111111111111,0.9194444444444444,-0.008333333333333304,0.6749999999999999,0.9666666666666667,-0.29166666666666674,0.7754786432051315,0.942318735239089,-0.16684009203395755
singleview_fft96_strict,7-14,713101,2,0.9111111111111111,0.8388888888888889,0.07222222222222219,0.6749999999999999,0.6583333333333333,0.016666666666666607,0.7754786432051315,0.7341747021958019,0.04130394100932955
full_legacy_oracle_strict,7-14,713101,20,0.9277777777777777,0.936111111111111,-0.008333333333333304,0.7416666666666667,0.9833333333333334,-0.2416666666666667,0.8239055135413039,0.9591172567299177,-0.13521174318861373
singleview_fft96_strict,7-14,713101,20,0.9277777777777777,0.9138888888888889,0.01388888888888884,0.7416666666666667,0.875,-0.1333333333333333,0.8239055135413039,0.8939822921416628,-0.07007677860035888
full_legacy_oracle_strict,7-14,713101,5,0.9194444444444444,0.9249999999999999,-0.005555555555555536,0.6916666666666665,0.9666666666666667,-0.27500000000000013,0.7892258619415736,0.9452954296661193,-0.15606956772454572
singleview_fft96_strict,7-14,713101,5,0.9194444444444444,0.8833333333333333,0.036111111111111094,0.6916666666666665,0.7000000000000001,-0.008333333333333526,0.7892258619415736,0.780555706597207,0.008670155344366659
full_legacy_oracle_strict,7-14,713102,1,0.8472222222222223,0.9166666666666666,-0.06944444444444431,0.7333333333333334,0.9666666666666667,-0.23333333333333328,0.7860706504824152,0.9405757984705353,-0.1545051479881201
singleview_fft96_strict,7-14,713102,1,0.8472222222222223,0.7833333333333333,0.063888888888889,0.7333333333333334,0.5083333333333333,0.2250000000000001,0.7860706504824152,0.616431400240125,0.1696392502422902
full_legacy_oracle_strict,7-14,713102,10,0.9194444444444444,0.9305555555555557,-0.011111111111111294,0.8083333333333332,1.0,-0.19166666666666676,0.8601693625688953,0.9640116678743288,-0.10384230530543348
singleview_fft96_strict,7-14,713102,10,0.9194444444444444,0.8694444444444445,0.04999999999999993,0.8083333333333332,0.8333333333333334,-0.025000000000000133,0.8601693625688953,0.8506372175679107,0.009532145000984649
full_legacy_oracle_strict,7-14,713102,2,0.9083333333333333,0.9222222222222222,-0.01388888888888884,0.7083333333333334,0.9666666666666667,-0.2583333333333333,0.7959355362395103,0.9437837167803363,-0.14784818054082605
singleview_fft96_strict,7-14,713102,2,0.9083333333333333,0.8361111111111111,0.07222222222222219,0.7083333333333334,0.5499999999999999,0.15833333333333344,0.7959355362395103,0.6634687019350524,0.13246683430445794
full_legacy_oracle_strict,7-14,713102,20,0.9138888888888889,0.9361111111111112,-0.022222222222222365,0.8666666666666666,1.0,-0.13333333333333341,0.8895837695081316,0.9669337754444137,-0.07735000593628216
