variant,scene,category,group,correct,total,incorrect,accuracy_percent
U1_mask_off,clean,aggregate,all,155651,198000,42349,78.61161616161615
U1_mask_off,clean,named,test_unseen_day_seen_rx,28051,30000,1949,93.50333333333333
U1_mask_off,clean,named,test_day_0,28051,30000,1949,93.50333333333333
U1_mask_off,clean,named,test_seen_day_unseen_rx,96031,126000,29969,76.21507936507936
U1_mask_off,clean,named,test_rx_0,15162,18000,2838,84.23333333333333
U1_mask_off,clean,named,test_rx_2,10857,18000,7143,60.31666666666667
U1_mask_off,clean,named,test_rx_5,15622,18000,2378,86.78888888888889
U1_mask_off,clean,named,test_rx_7,11383,18000,6617,63.23888888888889
U1_mask_off,clean,named,test_rx_9,14382,18000,3618,79.9
U1_mask_off,clean,named,test_rx_10,14773,18000,3227,82.07222222222222
U1_mask_off,clean,named,test_rx_11,13852,18000,4148,76.95555555555555
U1_mask_off,clean,named,test_unseen_day_unseen_rx,31569,42000,10431,75.16428571428571
U1_mask_off,clean,named,test_unseen_day_rx_0,3943,6000,2057,65.71666666666667
U1_mask_off,clean,named,test_unseen_day_rx_2,3731,6000,2269,62.18333333333333
U1_mask_off,clean,named,test_unseen_day_rx_5,4981,6000,1019,83.01666666666667
U1_mask_off,clean,named,test_unseen_day_rx_7,5380,6000,620,89.66666666666667
U1_mask_off,clean,named,test_unseen_day_rx_9,4107,6000,1893,68.45
U1_mask_off,clean,named,test_unseen_day_rx_10,5123,6000,877,85.38333333333334
U1_mask_off,clean,named,test_unseen_day_rx_11,4304,6000,1696,71.73333333333333
U1_mask_off,clean,receiver_all_days,0,19105,24000,4895,79.60416666666667
U1_mask_off,clean,receiver_all_days,1,4904,6000,1096,81.73333333333333
U1_mask_off,clean,receiver_all_days,2,14588,24000,9412,60.78333333333333
U1_mask_off,clean,receiver_all_days,3,5704,6000,296,95.06666666666666
U1_mask_off,clean,receiver_all_days,4,5866,6000,134,97.76666666666667
U1_mask_off,clean,receiver_all_days,5,20603,24000,3397,85.84583333333333
U1_mask_off,clean,receiver_all_days,6,5931,6000,69,98.85
U1_mask_off,clean,receiver_all_days,7,16763,24000,7237,69.84583333333333
U1_mask_off,clean,receiver_all_days,8,5646,6000,354,94.1
U1_mask_off,clean,receiver_all_days,9,18489,24000,5511,77.0375
U1_mask_off,clean,receiver_all_days,10,19896,24000,4104,82.9
U1_mask_off,clean,receiver_all_days,11,18156,24000,5844,75.65
U1_mask_off,clean,class,0,30727,33000,2273,93.11212121212121
U1_mask_off,clean,class,1,15018,33000,17982,45.50909090909091
U1_mask_off,clean,class,2,21323,33000,11677,64.61515151515151
U1_mask_off,clean,class,3,24720,33000,8280,74.9090909090909
U1_mask_off,clean,class,4,32859,33000,141,99.57272727272728
U1_mask_off,clean,class,5,31004,33000,1996,93.95151515151515
U1_mask_off,leo_clear_weak,aggregate,all,126576,198000,71424,63.92727272727273
U1_mask_off,leo_clear_weak,named,test_unseen_day_seen_rx,23712,30000,6288,79.04
U1_mask_off,leo_clear_weak,named,test_day_0,23712,30000,6288,79.04
U1_mask_off,leo_clear_weak,named,test_seen_day_unseen_rx,77875,126000,48125,61.80555555555556
U1_mask_off,leo_clear_weak,named,test_rx_0,13317,18000,4683,73.98333333333333
U1_mask_off,leo_clear_weak,named,test_rx_2,8410,18000,9590,46.72222222222222
U1_mask_off,leo_clear_weak,named,test_rx_5,14031,18000,3969,77.95
U1_mask_off,leo_clear_weak,named,test_rx_7,6987,18000,11013,38.81666666666667
U1_mask_off,leo_clear_weak,named,test_rx_9,12945,18000,5055,71.91666666666667
U1_mask_off,leo_clear_weak,named,test_rx_10,10813,18000,7187,60.07222222222222
U1_mask_off,leo_clear_weak,named,test_rx_11,11372,18000,6628,63.17777777777778
U1_mask_off,leo_clear_weak,named,test_unseen_day_unseen_rx,24989,42000,17011,59.49761904761905
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_0,3496,6000,2504,58.266666666666666
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_2,2507,6000,3493,41.78333333333333
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_5,3830,6000,2170,63.833333333333336
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_7,3189,6000,2811,53.15
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_9,3753,6000,2247,62.55
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_10,4366,6000,1634,72.76666666666667
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_11,3848,6000,2152,64.13333333333334
U1_mask_off,leo_clear_weak,receiver_all_days,0,16813,24000,7187,70.05416666666666
U1_mask_off,leo_clear_weak,receiver_all_days,1,4319,6000,1681,71.98333333333333
U1_mask_off,leo_clear_weak,receiver_all_days,2,10917,24000,13083,45.4875
U1_mask_off,leo_clear_weak,receiver_all_days,3,4503,6000,1497,75.05
U1_mask_off,leo_clear_weak,receiver_all_days,4,5210,6000,790,86.83333333333333
U1_mask_off,leo_clear_weak,receiver_all_days,5,17861,24000,6139,74.42083333333333
U1_mask_off,leo_clear_weak,receiver_all_days,6,4976,6000,1024,82.93333333333334
U1_mask_off,leo_clear_weak,receiver_all_days,7,10176,24000,13824,42.4
U1_mask_off,leo_clear_weak,receiver_all_days,8,4704,6000,1296,78.4
U1_mask_off,leo_clear_weak,receiver_all_days,9,16698,24000,7302,69.575
U1_mask_off,leo_clear_weak,receiver_all_days,10,15179,24000,8821,63.24583333333333
U1_mask_off,leo_clear_weak,receiver_all_days,11,15220,24000,8780,63.416666666666664
U1_mask_off,leo_clear_weak,class,0,19799,33000,13201,59.9969696969697
U1_mask_off,leo_clear_weak,class,1,8996,33000,24004,27.26060606060606
