run_id,title,local_report,sha256,note
phase1_adv3b02_nmfdu_gate8_manysig392005_20260903_r5,ADV3B02-NMFDU-Gate8 ManySig r5完整实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate8_manysig392005_20260903_r5\report.md,753fccd22b4c326cb835c2be4f695f0e744f74348276fbe08affc1d344d77d3c,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate_v1_s392002_20260901_r1,ADV3B02-NMFDU-GATE-V1最小预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate_v1_s392002_20260901_r1\report.md,172716436cf2f48fae200fa3df9eae8cb7dfaac5435ef9e0827d092e2c244399,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate_v1_s392002_20260902_r2,ADV3B02-NMFDU-GATE-V1 r2最小预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate_v1_s392002_20260902_r2\report.md,94cacf9acfba2dda04651b9fc8de6db6ac4a9d02eff62b9c8523581e5ccfe9e4,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pair12_manysig_e200_20260905_r2,ADV3B02配对改革E11技术故障修复与重新发布,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pair12_manysig_e200_20260905_r2\report.md,0dbab344629a5ed74af2499310a4abab826af93e8998f06c1c0384eafb6ad48f,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pair24_manysig_e200_20260905_r1,ADV3B02配对约束改革：24行实验发布记录,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pair24_manysig_e200_20260905_r1\report.md,5cc27b82eb46f04eafb3137b46429c28736179114abe0fbf3fee1e509c76ca03,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pairbicad_convergence_top2_seed3_u9000_20260831_r1,PairBiCAD P2/P1 Source-LORO收敛确认预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pairbicad_convergence_top2_seed3_u9000_20260831_r1\report.md,1d631772aa59954d45b14cf641c9691d8c1be78cc297f4586fdf018e6d010468,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pairbicad_convergence_top2_seed3_u9000_20260831_r2,PairBiCAD前两名source-LORO收敛确认r2,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pairbicad_convergence_top2_seed3_u9000_20260831_r2\report.md,393deb37d64f5e94543a20f28714a1ee54050697aa897b4eef3bd0726bccec1a,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pairbicad_final_p1_seed3_u6500_20260831_r1,PairBiCAD P1 U6500完整多种子确认,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pairbicad_final_p1_seed3_u6500_20260831_r1\report.md,eb7410c8602981467ee14b403b1b440c1c522c2a1f6290705f9cae4c94a1810c,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2,PairBiCAD P0–P4 r2正式矩阵预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2\report.md,7567f90fcd8fd8306931a5fb1767d4ac1bee3db0e76e807086cf7499501e2889,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_safe3_manysig_e200_20260905_r3,B_SAFE教师缓存修复与3行恢复发布,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_safe3_manysig_e200_20260905_r3\report.md,d50d3d7d0871310ad5b24e3ce3a53c52ad78307e9dbbb8f583b39bb41adcdfe6,关联报告版本；不等同于独立CORE90基线
phase1_adv3b03_core90seed_near3_day123_e200_20260830_r1,ADV3B03复用CORE90原seed及邻域3-seed正式实验,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b03_core90seed_near3_day123_e200_20260830_r1\report.md,ca2f99836fad3bfa65e678f52c7a73ffd5e0dfbe16b48a376a34a87e29ed123c,关联报告版本；不等同于独立CORE90基线
phase1_adv3b03_core90seed_near5_day123_e200_20260830_r1,ADV3B03 CORE90邻域新增5-seed满卡实验,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b03_core90seed_near5_day123_e200_20260830_r1\report.md,2f868a5f2049d468be153baf3c60e8330832b1733a7b6109e39c316eed47983d,关联报告版本；不等同于独立CORE90基线
