method,scope,scene,dimension,value,total,correct,accuracy_pct,macro_f1_pct
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:5,7000,5953,85.04285714285714,15.319488406804085
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:0,7000,4211,60.15714285714285,12.520441233312521
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:1,7000,2562,36.6,8.931185944363103
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:2,7000,3391,48.44285714285714,10.878003400378534
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:3,7000,3908,55.82857142857143,11.942305341645277
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:4,7000,5447,77.81428571428572,14.587182989207573
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,1:5,7000,6153,87.9,15.593400745077169
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:0,7000,3937,56.24285714285714,11.999024717320411
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:1,7000,1780,25.428571428571427,6.757782839787395
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:2,7000,3126,44.65714285714286,10.290341694647442
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:3,7000,3600,51.42857142857142,11.320754716981131
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:4,7000,5889,84.12857142857143,15.23004112033517
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,2:5,7000,5721,81.72857142857143,14.990959830202028
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:0,7000,3725,53.214285714285715,11.577311577311578
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:1,7000,2981,42.58571428571429,9.955582272985337
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:2,7000,3251,46.44285714285714,10.571326374662632
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:3,7000,4517,64.52857142857142,13.073427686608202
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:4,7000,5608,80.11428571428571,14.826565143824027
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,3:5,7000,6035,86.21428571428571,15.432809103695181
FCR_ADV3B02,target168k,leo_low_elev_weak,overall,all,168000,100107,59.587500000000006,60.13048178822405
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,0,24000,16199,67.49583333333334,67.51103522373084
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,10,24000,15001,62.50416666666667,62.752394185294754
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,11,24000,14740,61.416666666666664,56.89195430090697
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,2,24000,9957,41.4875,43.1418024960963
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,5,24000,16819,70.07916666666667,70.44989379691152
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,7,24000,11227,46.77916666666667,47.46333481557325
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver,9,24000,16164,67.35,65.66823021723333
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,0:0,6000,3544,59.06666666666667,56.629567763898834
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,0:1,6000,4132,68.86666666666666,68.41861506432475
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,0:2,6000,4415,73.58333333333333,73.90166480222051
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,0:3,6000,4108,68.46666666666667,68.37444806993615
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,10:0,6000,4010,66.83333333333333,66.38926837262656
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,10:1,6000,3730,62.16666666666667,60.844242029555105
FCR_ADV3B02,target168k,leo_low_elev_weak,receiver_day,10:2,6000,3268,54.46666666666666,53.319875948558725
