run,row,scope,updates,scene,dimension,value,accuracy_pct
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,0,18.566666666666666
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,1,0.5
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,2,2.533333333333333
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,3,81.8
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,4,19.366666666666667
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,tx,5,3.4333333333333336
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,overall,all,20.616666666666667
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,0,16.900000000000002
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,1,0.7000000000000001
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,2,1.866666666666667
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,3,80.76666666666667
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,4,20.366666666666667
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_low_elev_weak,tx,5,3.1
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,overall,all,21.622222222222224
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,0,17.766666666666666
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,1,0.5333333333333333
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,2,2.4
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,3,80.56666666666666
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,4,24.066666666666666
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_rain_weak,tx,5,4.3999999999999995
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,overall,all,55.87777777777778
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,tx,0,78.96666666666667
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,tx,1,34.93333333333333
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,tx,2,1.8333333333333333
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,tx,3,35.66666666666667
PairBiCAD_P0P4_r2,P0-F8-S392001,source_LORO,4000,clean,tx,4,89.33333333333333
