receiver,seed,k_shot,old_acc_full,old_acc_light,delta_old_acc,seen_new_acc_full,seen_new_acc_light,delta_seen_new_acc,H_old_new_full,H_old_new_light,delta_H_old_new
3-19,713103,10,0.7583333333333333,0.5944444444444444,0.16388888888888886,0.9,0.4833333333333334,0.41666666666666663,0.8223093975550927,0.5277807694329781,0.29452862812211456
3-19,713103,20,0.7972222222222222,0.6749999999999999,0.12222222222222223,0.9166666666666666,0.5166666666666667,0.3999999999999999,0.852763393729465,0.5794710223715858,0.2732923713578792
3-19,713104,1,0.6444444444444444,0.3527777777777778,0.2916666666666666,0.6833333333333332,0.39166666666666666,0.2916666666666666,0.656546613454774,0.35568367501642434,0.3008629384383497
3-19,713104,2,0.6666666666666666,0.5583333333333333,0.10833333333333328,0.75,0.35833333333333334,0.39166666666666666,0.7004136440808767,0.43456640058055146,0.26584724350032524
3-19,713104,5,0.7333333333333334,0.5277777777777777,0.2055555555555557,0.8166666666666668,0.4916666666666667,0.32500000000000007,0.7699494346233476,0.49790335044433404,0.2720460841790136
3-19,713104,10,0.75,0.5972222222222222,0.1527777777777778,0.85,0.5916666666666667,0.2583333333333333,0.7962593519736377,0.590198653929657,0.20606069804398075
3-19,713104,20,0.7944444444444444,0.6444444444444445,0.1499999999999999,0.8666666666666667,0.5583333333333332,0.30833333333333346,0.8285502654870988,0.5952734091818599,0.23327685630523887
3-19,713105,1,0.6222222222222223,0.5499999999999999,0.07222222222222241,0.6666666666666666,0.18333333333333335,0.4833333333333333,0.6425542338893446,0.2630975452196382,0.37945668866970644
3-19,713105,2,0.688888888888889,0.5416666666666667,0.14722222222222225,0.8000000000000002,0.3833333333333333,0.41666666666666685,0.7364040158198965,0.44223574826230694,0.2941682675575895
3-19,713105,5,0.763888888888889,0.6277777777777778,0.13611111111111118,0.8833333333333333,0.3833333333333333,0.5,0.8187542008961911,0.47065925923396584,0.34809494166222527
3-19,713105,10,0.7916666666666666,0.6444444444444445,0.14722222222222214,0.9166666666666666,0.3833333333333333,0.5333333333333333,0.8493590672343209,0.47369114771661985,0.375667919517701
3-19,713105,20,0.8222222222222223,0.7000000000000001,0.12222222222222223,0.9166666666666666,0.48333333333333334,0.4333333333333333,0.8667301746690272,0.5642432279139139,0.30248694675511334
7-14,713101,1,0.8722222222222222,0.8055555555555557,0.06666666666666654,0.9666666666666667,0.5333333333333333,0.43333333333333335,0.9161651372858269,0.6373831851117343,0.27878195217409263
7-14,713101,2,0.9194444444444444,0.8388888888888889,0.08055555555555549,0.9666666666666667,0.6583333333333333,0.30833333333333335,0.942318735239089,0.7341747021958019,0.2081440330432871
7-14,713101,5,0.9249999999999999,0.8833333333333333,0.04166666666666663,0.9666666666666667,0.7000000000000001,0.2666666666666666,0.9452954296661193,0.780555706597207,0.16473972306891238
7-14,713101,10,0.9416666666666665,0.8972222222222223,0.04444444444444429,1.0,0.8250000000000001,0.17499999999999993,0.9698680392482428,0.8571995256170871,0.11266851363115571
7-14,713101,20,0.936111111111111,0.9138888888888889,0.022222222222222143,0.9833333333333334,0.875,0.10833333333333339,0.9591172567299177,0.8939822921416628,0.06513496458825485
7-14,713102,1,0.9166666666666666,0.7833333333333333,0.1333333333333333,0.9666666666666667,0.5083333333333333,0.45833333333333337,0.9405757984705353,0.616431400240125,0.3241443982304103
7-14,713102,2,0.9222222222222222,0.8361111111111111,0.08611111111111103,0.9666666666666667,0.5499999999999999,0.41666666666666674,0.9437837167803363,0.6634687019350524,0.280315014845284
7-14,713102,5,0.9250000000000002,0.875,0.050000000000000155,0.9666666666666667,0.6749999999999999,0.29166666666666674,0.9450478360072712,0.7619965781267064,0.18305125788056475
7-14,713102,10,0.9305555555555557,0.8694444444444445,0.06111111111111123,1.0,0.8333333333333334,0.16666666666666663,0.9640116678743288,0.8506372175679107,0.11337445030641813
