arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting
singleview_fft96_strict,7-14,713104,2,leo_low_elev_weak,0.7666666666666667,0.8,0.7829787234042553,0.07499999999999996
singleview_fft96_strict,7-14,713104,2,leo_rain_weak,0.775,0.725,0.7491666666666666,0.07499999999999996
singleview_fft96_strict,7-14,713104,20,leo_clear_weak,0.8833333333333333,0.875,0.8791469194312796,0.025000000000000022
singleview_fft96_strict,7-14,713104,20,leo_low_elev_weak,0.8416666666666667,0.85,0.8458128078817735,0.0
singleview_fft96_strict,7-14,713104,20,leo_rain_weak,0.8666666666666667,0.775,0.818274111675127,0.008333333333333304
singleview_fft96_strict,7-14,713104,5,leo_clear_weak,0.875,0.875,0.875,0.025000000000000022
singleview_fft96_strict,7-14,713104,5,leo_low_elev_weak,0.85,0.825,0.8373134328358209,0.0
singleview_fft96_strict,7-14,713104,5,leo_rain_weak,0.8416666666666667,0.75,0.7931937172774868,0.025000000000000022
singleview_fft96_strict,7-14,713105,1,leo_clear_weak,0.875,0.75,0.8076923076923077,0.05833333333333335
singleview_fft96_strict,7-14,713105,1,leo_low_elev_weak,0.8333333333333334,0.6,0.6976744186046512,0.02499999999999991
singleview_fft96_strict,7-14,713105,1,leo_rain_weak,0.8916666666666667,0.425,0.5756329113924051,0.008333333333333304
singleview_fft96_strict,7-14,713105,10,leo_clear_weak,0.9166666666666666,0.9,0.908256880733945,0.008333333333333415
singleview_fft96_strict,7-14,713105,10,leo_low_elev_weak,0.8666666666666667,0.8,0.832,0.0
singleview_fft96_strict,7-14,713105,10,leo_rain_weak,0.925,0.85,0.8859154929577465,-0.008333333333333415
singleview_fft96_strict,7-14,713105,2,leo_clear_weak,0.9166666666666666,0.725,0.8096446700507615,0.01666666666666672
singleview_fft96_strict,7-14,713105,2,leo_low_elev_weak,0.8083333333333333,0.725,0.7644021739130435,0.025000000000000022
singleview_fft96_strict,7-14,713105,2,leo_rain_weak,0.9166666666666666,0.575,0.706703910614525,0.0
singleview_fft96_strict,7-14,713105,20,leo_clear_weak,0.9416666666666667,0.9,0.9203619909502262,0.0
singleview_fft96_strict,7-14,713105,20,leo_low_elev_weak,0.875,0.825,0.8492647058823529,0.0
singleview_fft96_strict,7-14,713105,20,leo_rain_weak,0.9083333333333333,0.85,0.8781990521327014,0.0
singleview_fft96_strict,7-14,713105,5,leo_clear_weak,0.925,0.9,0.9123287671232876,0.008333333333333304
singleview_fft96_strict,7-14,713105,5,leo_low_elev_weak,0.85,0.75,0.7968749999999999,0.0
singleview_fft96_strict,7-14,713105,5,leo_rain_weak,0.9,0.8,0.8470588235294118,0.008333333333333304
singleview_fft96_strict,7-7,713101,1,leo_clear_weak,0.7666666666666667,0.55,0.640506329113924,0.07499999999999996
singleview_fft96_strict,7-7,713101,1,leo_low_elev_weak,0.675,0.5,0.574468085106383,0.04999999999999993
singleview_fft96_strict,7-7,713101,1,leo_rain_weak,0.6916666666666667,0.475,0.5632142857142857,0.1333333333333333
singleview_fft96_strict,7-7,713101,10,leo_clear_weak,0.9416666666666667,0.85,0.8934883720930233,0.0
singleview_fft96_strict,7-7,713101,10,leo_low_elev_weak,0.875,0.8,0.8358208955223881,0.008333333333333304
singleview_fft96_strict,7-7,713101,10,leo_rain_weak,0.8833333333333333,0.575,0.6965714285714285,0.04166666666666674
singleview_fft96_strict,7-7,713101,2,leo_clear_weak,0.85,0.55,0.6678571428571429,0.025000000000000022
singleview_fft96_strict,7-7,713101,2,leo_low_elev_weak,0.7333333333333333,0.525,0.6119205298013245,0.01666666666666672
singleview_fft96_strict,7-7,713101,2,leo_rain_weak,0.7166666666666667,0.6,0.6531645569620254,0.15000000000000002
singleview_fft96_strict,7-7,713101,20,leo_clear_weak,0.9166666666666666,0.85,0.8820754716981131,0.01666666666666672
singleview_fft96_strict,7-7,713101,20,leo_low_elev_weak,0.8666666666666667,0.9,0.8830188679245283,-0.01666666666666672
singleview_fft96_strict,7-7,713101,20,leo_rain_weak,0.8916666666666667,0.725,0.7997422680412372,-0.008333333333333415
