method,new_tx_ids,old_acc,seen_new_acc,min_seen_new_class_acc,H_old_new,passes_joint_target,per_new_acc,support_count,old_query_count,new_query_count
proto,"10-11,8-3",0.6916666666666667,0.75,0.75,0.7196531791907516,False,"{""10-11"": 0.75, ""8-3"": 0.75}",80,240,80
proto,"12-20,8-3",0.7958333333333333,0.725,0.7,0.7587671232876712,False,"{""12-20"": 0.7, ""8-3"": 0.75}",80,240,80
proto,"12-7,8-3",0.7791666666666667,0.7125,0.675,0.7443435754189944,False,"{""12-7"": 0.675, ""8-3"": 0.75}",80,240,80
proto,"3-1,8-3",0.75,0.7125,0.675,0.7307692307692308,False,"{""3-1"": 0.675, ""8-3"": 0.75}",80,240,80
proto,"7-10,8-3",0.6916666666666667,0.7125,0.675,0.7019287833827892,False,"{""7-10"": 0.675, ""8-3"": 0.75}",80,240,80
proto,"3-1,3-13",0.775,0.6625000000000001,0.65,0.7143478260869567,False,"{""3-1"": 0.675, ""3-13"": 0.65}",80,240,80
proto,"13-19,3-13",0.7541666666666667,0.65,0.65,0.6982195845697329,False,"{""13-19"": 0.65, ""3-13"": 0.65}",80,240,80
proto,"13-19,8-3",0.7291666666666666,0.7,0.65,0.7142857142857142,False,"{""13-19"": 0.65, ""8-3"": 0.75}",80,240,80
proto,"3-13,6-6",0.7208333333333333,0.7,0.65,0.7102639296187682,False,"{""3-13"": 0.65, ""6-6"": 0.75}",80,240,80
proto,"19-6,3-13",0.7208333333333333,0.65,0.65,0.6835866261398177,False,"{""19-6"": 0.65, ""3-13"": 0.65}",80,240,80
proto,"20-12,3-13",0.7208333333333333,0.65,0.65,0.6835866261398177,False,"{""20-12"": 0.65, ""3-13"": 0.65}",80,240,80
proto,"20-5,3-13",0.7208333333333333,0.65,0.65,0.6835866261398177,False,"{""20-5"": 0.65, ""3-13"": 0.65}",80,240,80
proto,"10-11,3-13",0.7166666666666667,0.7,0.65,0.7082352941176471,False,"{""10-11"": 0.75, ""3-13"": 0.65}",80,240,80
proto,"3-13,7-10",0.7166666666666667,0.6625000000000001,0.65,0.6885196374622357,False,"{""3-13"": 0.65, ""7-10"": 0.675}",80,240,80
proto,"1-16,3-13",0.7166666666666667,0.65,0.65,0.6817073170731708,False,"{""1-16"": 0.65, ""3-13"": 0.65}",80,240,80
proto,"19-6,8-3",0.6958333333333333,0.7,0.65,0.6979104477611939,False,"{""19-6"": 0.65, ""8-3"": 0.75}",80,240,80
proto,"20-12,8-3",0.6958333333333333,0.7,0.65,0.6979104477611939,False,"{""20-12"": 0.65, ""8-3"": 0.75}",80,240,80
proto,"20-5,8-3",0.6958333333333333,0.7,0.65,0.6979104477611939,False,"{""20-5"": 0.65, ""8-3"": 0.75}",80,240,80
proto,"3-13,8-3",0.6958333333333333,0.7,0.65,0.6979104477611939,False,"{""3-13"": 0.65, ""8-3"": 0.75}",80,240,80
proto,"1-16,8-3",0.6916666666666667,0.7,0.65,0.6958083832335329,False,"{""1-16"": 0.65, ""8-3"": 0.75}",80,240,80
knn1,"12-20,18-9",0.8791666666666667,0.65,0.625,0.7474114441416893,False,"{""12-20"": 0.675, ""18-9"": 0.625}",80,240,80
knn1,"13-14,18-9",0.8791666666666667,0.65,0.625,0.7474114441416893,False,"{""13-14"": 0.675, ""18-9"": 0.625}",80,240,80
knn1,"2-16,2-7",0.8791666666666667,0.6375,0.625,0.7390796703296703,False,"{""2-16"": 0.625, ""2-7"": 0.65}",80,240,80
knn1,"2-16,3-1",0.875,0.65,0.625,0.7459016393442623,False,"{""2-16"": 0.625, ""3-1"": 0.675}",80,240,80
knn1,"12-20,20-4",0.8708333333333333,0.675,0.625,0.760512129380054,False,"{""12-20"": 0.725, ""20-4"": 0.625}",80,240,80
knn1,"19-6,2-16",0.8708333333333333,0.675,0.625,0.760512129380054,False,"{""19-6"": 0.725, ""2-16"": 0.625}",80,240,80
knn3,"2-16,3-8",0.8708333333333333,0.675,0.625,0.760512129380054,False,"{""2-16"": 0.625, ""3-8"": 0.725}",80,240,80
knn1,"13-14,20-4",0.8708333333333333,0.65,0.625,0.7443835616438356,False,"{""13-14"": 0.675, ""20-4"": 0.625}",80,240,80
knn1,"2-16,3-19",0.8708333333333333,0.6375,0.625,0.7361187845303868,False,"{""2-16"": 0.625, ""3-19"": 0.65}",80,240,80
knn1,"18-9,3-8",0.8666666666666667,0.6625,0.625,0.7509536784741144,False,"{""18-9"": 0.625, ""3-8"": 0.7}",80,240,80
knn1,"2-13,3-19",0.8666666666666667,0.6625,0.625,0.7509536784741144,False,"{""2-13"": 0.7, ""3-19"": 0.625}",80,240,80
knn1,"18-9,20-4",0.8666666666666667,0.65,0.625,0.7428571428571429,False,"{""18-9"": 0.675, ""20-4"": 0.625}",80,240,80
knn1,"20-4,3-1",0.8666666666666667,0.65,0.625,0.7428571428571429,False,"{""20-4"": 0.625, ""3-1"": 0.675}",80,240,80
knn1,"2-16,20-4",0.8666666666666667,0.6375,0.625,0.7346260387811634,False,"{""2-16"": 0.65, ""20-4"": 0.625}",80,240,80
