row,epoch,family,metric,value
B0,6,LOSS-TOP,cls,7.0768
B0,6,LOSS-TOP,dom,1.9036
B0,6,LOSS-TOP,adv,0.9456
B0,6,LOSS-TOP,orth,0.0
B0,6,GRAD,total,1.388
B0,6,GRAD,backbone,1.0
B0,6,GRAD,aux,0.749
B0,6,GRAD,domain,0.5
B0,7,LOSS-CORE-RAW,total,8.4085
B0,7,LOSS-CORE-RAW,cls,5.649
B0,7,LOSS-CORE-RAW,dom,1.8143
B0,7,LOSS-CORE-RAW,adv,2.7007
B0,7,LOSS-CORE-RAW,orth,0.0006
B0,7,LOSS-CORE-RAW,cons,0.4368
B0,7,LOSS-CORE-RAW,group_ce,8.3366
B0,7,LOSS-CORE-W,cls,5.649
B0,7,LOSS-CORE-W,dom,1.8143
B0,7,LOSS-CORE-W,adv,0.9452
B0,7,LOSS-CORE-W,orth,0.0
B0,7,LOSS-CORE-W,cons,0.0
B0,7,LOSS-CORE-W,group_ce,0.0
B0,7,LOSS-AUX-RAW,cls_pa,0.0
B0,7,LOSS-AUX-RAW,cls_dac,0.0
B0,7,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,7,LOSS-AUX-RAW,pa_kl,0.0
B0,7,LOSS-AUX-RAW,dac_reg,0.0
B0,7,LOSS-AUX-RAW,pa_reg,0.0
B0,7,LOSS-AUX-RAW,gap_dac,0.0
B0,7,LOSS-AUX-RAW,gap_pa,0.0
B0,7,LOSS-AUX-RAW,cos_joint_pa,nan
B0,7,LOSS-AUX-RAW,cos_imp_pa,nan
B0,7,LOSS-AUX-W,cls_pa,0.0
B0,7,LOSS-AUX-W,cls_dac,0.0
B0,7,LOSS-AUX-W,pa_joint_inv,0.0
B0,7,LOSS-AUX-W,pa_kl,0.0
B0,7,LOSS-AUX-W,dac_reg,0.0
B0,7,LOSS-AUX-W,pa_reg,0.0
B0,7,LOSS-SAT-RAW,cls_sat,8.9679
B0,7,LOSS-SAT-RAW,sat_cons,0.0
B0,7,LOSS-SAT-RAW,sat_cos,nan
B0,7,LOSS-SAT-W,cls_sat,0.0
B0,7,LOSS-SAT-W,sat_cons,0.0
B0,7,LOSS-DG-RAW,proto,0.0
B0,7,LOSS-DG-RAW,proto_cos,nan
B0,7,LOSS-DG-RAW,supcon,0.0
B0,7,LOSS-DG-RAW,fishr,0.0
B0,7,LOSS-DG-RAW,feature_norm,9.2501
B0,7,LOSS-DG-RAW,z_id_norm,2.7014
B0,7,LOSS-DG-W,proto,0.0
B0,7,LOSS-DG-W,supcon,0.0
B0,7,LOSS-DG-W,fishr,0.0
B0,7,LOSS-DG-W,ow_feat,0.0
B0,7,LOSS-DG-W,feature_norm,0.0
B0,7,LOSS-OW-FEAT,loss,0.0
B0,7,LOSS-OW-FEAT,compact,0.0
B0,7,LOSS-OW-FEAT,inter,0.0
B0,7,LOSS-OW-FEAT,sample_margin,0.0
B0,7,LOSS-OW-FEAT,domain_align,0.0
B0,7,LOSS-OW-FEAT,active_cls,0.0
B0,7,LOSS-OW-FEAT,pos_deg,nan
B0,7,LOSS-OW-FEAT,min_inter_deg,nan
B0,7,LOSS-META-SSL,tx,0.0
