method,scene,bin,count,mean_confidence,accuracy
linear_ridge,leo_low_elev_weak,6,1670,0.4212323725223541,0.485029935836792
linear_ridge,leo_low_elev_weak,7,184,0.49291694164276123,0.4021739065647125
linear_ridge,leo_low_elev_weak,8,31,0.5587008595466614,0.35483869910240173
linear_ridge,leo_low_elev_weak,9,6,0.6198371052742004,0.8333333134651184
linear_ridge,leo_low_elev_weak,10,0,,
linear_ridge,leo_low_elev_weak,11,0,,
linear_ridge,leo_low_elev_weak,12,0,,
linear_ridge,leo_low_elev_weak,13,0,,
linear_ridge,leo_low_elev_weak,14,0,,
linear_ridge,leo_rain_weak,0,0,,
linear_ridge,leo_rain_weak,1,0,,
linear_ridge,leo_rain_weak,2,16760,0.18860185146331787,0.23937948048114777
linear_ridge,leo_rain_weak,3,67836,0.23569215834140778,0.4737602472305298
linear_ridge,leo_rain_weak,4,64339,0.2964633107185364,0.6282348036766052
linear_ridge,leo_rain_weak,5,17260,0.3560916781425476,0.604055643081665
