method,scene,requested_coverage,attained_coverage,risk,threshold
H2,leo_low_elev_weak,0.8,0.8,0.40755208333333337,0.3604952096939087
H2,leo_low_elev_weak,0.9,0.9,0.45499338624338626,0.3268841803073883
H2,leo_low_elev_weak,0.95,0.95,0.47297619047619044,0.30495214462280273
H2,leo_low_elev_weak,1.0,1.0,0.48641071428571425,0.24357202649116516
H2,leo_rain_weak,0.1,0.1,0.04613095238095233,0.9874200224876404
H2,leo_rain_weak,0.2,0.2,0.12092261904761903,0.9288796186447144
H2,leo_rain_weak,0.3,0.3,0.1766468253968254,0.8359424471855164
H2,leo_rain_weak,0.4,0.4,0.2181547619047619,0.7196922898292542
H2,leo_rain_weak,0.5,0.5,0.258547619047619,0.5964439511299133
H2,leo_rain_weak,0.6,0.6,0.298343253968254,0.4825531840324402
H2,leo_rain_weak,0.7,0.7,0.34671768707482997,0.40127038955688477
H2,leo_rain_weak,0.8,0.8,0.4029166666666667,0.3603300452232361
H2,leo_rain_weak,0.9,0.9,0.4508994708994709,0.32671868801116943
H2,leo_rain_weak,0.95,0.95,0.46946115288220547,0.3047770857810974
H2,leo_rain_weak,1.0,1.0,0.483202380952381,0.24162647128105164
H3,clean,0.1,0.1453154761904762,0.00032769426125422996,1.0
H3,clean,0.2,0.2001547619047619,0.0006245167429964615,0.9999877214431763
H3,clean,0.3,0.30001190476190476,0.020515058926233065,0.9994609951972961
H3,clean,0.4,0.4,0.0591666666666667,0.9970421195030212
H3,clean,0.5,0.5,0.09020238095238098,0.9821709394454956
H3,clean,0.6,0.6,0.1288690476190476,0.9246739745140076
H3,clean,0.7,0.7,0.1668962585034014,0.789368212223053
H3,clean,0.8,0.8,0.19845982142857144,0.6044383645057678
H3,clean,0.9,0.9,0.24602513227513223,0.5024139285087585
H3,clean,0.95,0.95,0.2684210526315789,0.4556278884410858
H3,clean,1.0,1.0,0.29340476190476195,0.2661159634590149
H3,leo_clear_weak,0.1,0.1,0.014940476190476226,0.9983510971069336
H3,leo_clear_weak,0.2,0.2,0.0959523809523809,0.9690616726875305
H3,leo_clear_weak,0.3,0.3,0.18482142857142858,0.9119957685470581
H3,leo_clear_weak,0.4,0.4,0.2618601190476191,0.8180815577507019
H3,leo_clear_weak,0.5,0.5,0.3192380952380952,0.6955710649490356
H3,leo_clear_weak,0.6,0.6,0.36925595238095243,0.604176938533783
