method,scene,true_class,predicted_class,count,true_class_count,row_rate
H2,leo_low_elev_weak,1,0,130,28000,0.004642857238650322
H2,leo_low_elev_weak,1,1,6047,28000,0.21596428751945496
H2,leo_low_elev_weak,1,2,46,28000,0.001642857096157968
H2,leo_low_elev_weak,1,3,19143,28000,0.6836785674095154
H2,leo_low_elev_weak,1,4,2618,28000,0.09350000321865082
H2,leo_low_elev_weak,1,5,16,28000,0.0005714285653084517
H2,leo_low_elev_weak,2,0,110,28000,0.0039285714738070965
H2,leo_low_elev_weak,2,1,638,28000,0.022785713896155357
H2,leo_low_elev_weak,2,2,9725,28000,0.34732142090797424
H2,leo_low_elev_weak,2,3,1879,28000,0.06710714101791382
H2,leo_low_elev_weak,2,4,13681,28000,0.48860713839530945
H2,leo_low_elev_weak,2,5,1967,28000,0.0702499970793724
H2,leo_low_elev_weak,3,0,655,28000,0.02339285798370838
H2,leo_low_elev_weak,3,1,2955,28000,0.10553571581840515
H2,leo_low_elev_weak,3,2,503,28000,0.017964284867048264
H2,leo_low_elev_weak,3,3,18158,28000,0.6485000252723694
H2,leo_low_elev_weak,3,4,5608,28000,0.20028571784496307
H2,leo_low_elev_weak,3,5,121,28000,0.00432142848148942
H2,leo_low_elev_weak,4,0,5,28000,0.00017857142665889114
H2,leo_low_elev_weak,4,1,1524,28000,0.054428569972515106
H2,leo_low_elev_weak,4,2,52,28000,0.0018571428954601288
H2,leo_low_elev_weak,4,3,3451,28000,0.12325000017881393
H2,leo_low_elev_weak,4,4,22948,28000,0.8195714354515076
H2,leo_low_elev_weak,4,5,20,28000,0.0007142857066355646
H2,leo_low_elev_weak,5,0,0,28000,0.0
H2,leo_low_elev_weak,5,1,44,28000,0.001571428612805903
H2,leo_low_elev_weak,5,2,304,28000,0.010857142508029938
H2,leo_low_elev_weak,5,3,36,28000,0.0012857143301516771
H2,leo_low_elev_weak,5,4,5772,28000,0.206142857670784
H2,leo_low_elev_weak,5,5,21844,28000,0.7801428437232971
H2,leo_rain_weak,0,0,7774,28000,0.2776428461074829
H2,leo_rain_weak,0,1,1677,28000,0.05989285558462143
H2,leo_rain_weak,0,2,196,28000,0.007000000216066837
H2,leo_rain_weak,0,3,10909,28000,0.38960713148117065
H2,leo_rain_weak,0,4,7433,28000,0.26546427607536316
H2,leo_rain_weak,0,5,11,28000,0.00039285715320147574
H2,leo_rain_weak,1,0,161,28000,0.005750000011175871
H2,leo_rain_weak,1,1,6024,28000,0.2151428610086441
H2,leo_rain_weak,1,2,54,28000,0.0019285713788121939
H2,leo_rain_weak,1,3,18853,28000,0.6733214259147644
H2,leo_rain_weak,1,4,2897,28000,0.1034642830491066
H2,leo_rain_weak,1,5,11,28000,0.00039285715320147574
H2,leo_rain_weak,2,0,131,28000,0.004678571596741676
H2,leo_rain_weak,2,1,638,28000,0.022785713896155357
H2,leo_rain_weak,2,2,9752,28000,0.3482857048511505
H2,leo_rain_weak,2,3,1872,28000,0.06685714423656464
