run,row,epoch,kind,scenario,class,accuracy_pct
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,0,81.78928571428571
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,1,34.09285714285714
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,2,59.653571428571425
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,3,60.41428571428571
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,4,95.93928571428572
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_clear_weak,5,81.45
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,0,79.1392857142857
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,1,32.824999999999996
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,2,56.167857142857144
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,3,57.3
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,4,94.23214285714285
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_low_elev_weak,5,81.93214285714285
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,0,79.7642857142857
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,1,34.14285714285714
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,2,55.54642857142858
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,3,55.86071428571429
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,4,93.69285714285715
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,leo_rain_weak,5,83.45714285714286
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,0,92.16785714285714
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,1,42.57142857142857
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,2,69.53214285714286
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,3,68.29642857142856
