row,scene,group_type,group_id,count,accuracy_percent,macro_recall_percent,macro_f1_percent,worst_tx_accuracy_percent
B0,leo_clear_weak,day,3,9000,88.08888888888889,88.08888888888889,87.9771977355039,76.4
B0,leo_clear_weak,tx,0,4500,72.77777777777777,,,
B0,leo_clear_weak,tx,1,4500,83.22222222222221,,,
B0,leo_clear_weak,tx,2,4500,97.82222222222222,,,
B0,leo_clear_weak,tx,3,4500,77.11111111111111,,,
B0,leo_clear_weak,tx,4,4500,97.97777777777777,,,
B0,leo_clear_weak,tx,5,4500,98.86666666666667,,,
B0,leo_low_elev_weak,overall,all,27000,84.82592592592593,84.82592592592594,84.55533896446724,68.93333333333334
B0,leo_low_elev_weak,rx,1,5400,92.07407407407408,92.07407407407408,91.98654312596105,78.11111111111111
B0,leo_low_elev_weak,rx,3,5400,75.57407407407408,75.57407407407408,74.53309939686436,46.111111111111114
B0,leo_low_elev_weak,rx,4,5400,85.42592592592592,85.42592592592592,84.85812183958295,49.0
B0,leo_low_elev_weak,rx,6,5400,93.51851851851852,93.5185185185185,93.49298932722685,85.55555555555556
B0,leo_low_elev_weak,rx,8,5400,77.53703703703704,77.53703703703704,76.43355749370264,48.22222222222222
B0,leo_low_elev_weak,day,1,9000,83.46666666666667,83.46666666666667,83.15978316295542,65.06666666666666
B0,leo_low_elev_weak,day,2,9000,85.92222222222222,85.92222222222222,85.64566689723175,66.73333333333333
B0,leo_low_elev_weak,day,3,9000,85.08888888888889,85.08888888888889,84.82847611225185,69.8
B0,leo_low_elev_weak,tx,0,4500,68.93333333333334,,,
B0,leo_low_elev_weak,tx,1,4500,77.95555555555555,,,
B0,leo_low_elev_weak,tx,2,4500,96.2,,,
B0,leo_low_elev_weak,tx,3,4500,70.19999999999999,,,
B0,leo_low_elev_weak,tx,4,4500,97.46666666666667,,,
B0,leo_low_elev_weak,tx,5,4500,98.2,,,
B0,leo_rain_weak,overall,all,27000,84.52592592592593,84.52592592592593,84.26408561744371,68.4888888888889
B0,leo_rain_weak,rx,1,5400,92.64814814814815,92.64814814814815,92.54425370674412,80.77777777777779
B0,leo_rain_weak,rx,3,5400,75.18518518518519,75.18518518518519,74.30075781402232,46.666666666666664
B0,leo_rain_weak,rx,4,5400,85.4074074074074,85.40740740740742,85.03220486967534,52.888888888888886
B0,leo_rain_weak,rx,6,5400,92.74074074074075,92.74074074074073,92.72755847319374,84.22222222222221
B0,leo_rain_weak,rx,8,5400,76.64814814814814,76.64814814814815,75.42911515169291,45.55555555555556
B0,leo_rain_weak,day,1,9000,84.42222222222222,84.42222222222222,84.16780349503628,67.93333333333334
B0,leo_rain_weak,day,2,9000,84.93333333333334,84.93333333333334,84.66665448799412,68.8
B0,leo_rain_weak,day,3,9000,84.22222222222221,84.22222222222223,83.93954368968086,67.2
B0,leo_rain_weak,tx,0,4500,70.86666666666666,,,
B0,leo_rain_weak,tx,1,4500,75.55555555555556,,,
B0,leo_rain_weak,tx,2,4500,96.13333333333334,,,
B0,leo_rain_weak,tx,3,4500,68.4888888888889,,,
B0,leo_rain_weak,tx,4,4500,97.66666666666667,,,
B0,leo_rain_weak,tx,5,4500,98.44444444444444,,,
