variant,scene,true_tx,predicted_tx,count
U3,leo_rain_weak,1,3,19397
U3,leo_rain_weak,1,4,921
U3,leo_rain_weak,1,5,69
U3,leo_rain_weak,2,0,4218
U3,leo_rain_weak,2,1,1981
U3,leo_rain_weak,2,2,16086
U3,leo_rain_weak,2,3,2427
U3,leo_rain_weak,2,4,3922
U3,leo_rain_weak,2,5,4366
U3,leo_rain_weak,3,0,7375
U3,leo_rain_weak,3,1,4413
U3,leo_rain_weak,3,2,632
U3,leo_rain_weak,3,3,19620
U3,leo_rain_weak,3,4,712
U3,leo_rain_weak,3,5,248
U3,leo_rain_weak,4,0,423
U3,leo_rain_weak,4,1,2237
U3,leo_rain_weak,4,2,116
U3,leo_rain_weak,4,3,4816
U3,leo_rain_weak,4,4,25262
U3,leo_rain_weak,4,5,146
U3,leo_rain_weak,5,0,264
U3,leo_rain_weak,5,1,306
U3,leo_rain_weak,5,2,325
U3,leo_rain_weak,5,3,44
U3,leo_rain_weak,5,4,3525
U3,leo_rain_weak,5,5,28536
Ux,clean,0,0,31454
Ux,clean,0,1,172
Ux,clean,0,2,320
Ux,clean,0,3,954
Ux,clean,0,4,45
Ux,clean,0,5,55
Ux,clean,1,0,695
Ux,clean,1,1,17012
Ux,clean,1,2,35
Ux,clean,1,3,15119
Ux,clean,1,4,65
Ux,clean,1,5,74
Ux,clean,2,0,2268
Ux,clean,2,1,941
Ux,clean,2,2,20727
Ux,clean,2,3,1412
Ux,clean,2,4,804
Ux,clean,2,5,6848
Ux,clean,3,0,3642
Ux,clean,3,1,6618
Ux,clean,3,2,178
Ux,clean,3,3,22360
Ux,clean,3,4,104
Ux,clean,3,5,98
Ux,clean,4,0,42
Ux,clean,4,1,749
Ux,clean,4,2,20
Ux,clean,4,3,164
Ux,clean,4,4,31939
Ux,clean,4,5,86
Ux,clean,5,0,83
Ux,clean,5,1,25
Ux,clean,5,2,34
Ux,clean,5,3,23
Ux,clean,5,4,1000
Ux,clean,5,5,31835
Ux,leo_clear_weak,0,0,21945
Ux,leo_clear_weak,0,1,1768
Ux,leo_clear_weak,0,2,439
Ux,leo_clear_weak,0,3,8620
Ux,leo_clear_weak,0,4,152
Ux,leo_clear_weak,0,5,76
Ux,leo_clear_weak,1,0,1623
Ux,leo_clear_weak,1,1,10065
Ux,leo_clear_weak,1,2,32
Ux,leo_clear_weak,1,3,20869
Ux,leo_clear_weak,1,4,333
Ux,leo_clear_weak,1,5,78
Ux,leo_clear_weak,2,0,2670
Ux,leo_clear_weak,2,1,2659
Ux,leo_clear_weak,2,2,14898
Ux,leo_clear_weak,2,3,3267
Ux,leo_clear_weak,2,4,3511
Ux,leo_clear_weak,2,5,5995
Ux,leo_clear_weak,3,0,4930
Ux,leo_clear_weak,3,1,5372
Ux,leo_clear_weak,3,2,411
Ux,leo_clear_weak,3,3,21758
Ux,leo_clear_weak,3,4,222
Ux,leo_clear_weak,3,5,307
Ux,leo_clear_weak,4,0,278
Ux,leo_clear_weak,4,1,2550
Ux,leo_clear_weak,4,2,62
Ux,leo_clear_weak,4,3,5060
Ux,leo_clear_weak,4,4,24899
Ux,leo_clear_weak,4,5,151
Ux,leo_clear_weak,5,0,150
Ux,leo_clear_weak,5,1,244
Ux,leo_clear_weak,5,2,56
Ux,leo_clear_weak,5,3,34
Ux,leo_clear_weak,5,4,1683
Ux,leo_clear_weak,5,5,30833
Ux,leo_low_elev_weak,0,0,20991
Ux,leo_low_elev_weak,0,1,2095
Ux,leo_low_elev_weak,0,2,494
Ux,leo_low_elev_weak,0,3,9083
Ux,leo_low_elev_weak,0,4,238
Ux,leo_low_elev_weak,0,5,99
Ux,leo_low_elev_weak,1,0,2165
Ux,leo_low_elev_weak,1,1,9493
Ux,leo_low_elev_weak,1,2,57
Ux,leo_low_elev_weak,1,3,20704
Ux,leo_low_elev_weak,1,4,487
Ux,leo_low_elev_weak,1,5,94
Ux,leo_low_elev_weak,2,0,2740
Ux,leo_low_elev_weak,2,1,3117
Ux,leo_low_elev_weak,2,2,13852
Ux,leo_low_elev_weak,2,3,3476
Ux,leo_low_elev_weak,2,4,3628
Ux,leo_low_elev_weak,2,5,6187
Ux,leo_low_elev_weak,3,0,5505
Ux,leo_low_elev_weak,3,1,5563
Ux,leo_low_elev_weak,3,2,445
Ux,leo_low_elev_weak,3,3,20768
Ux,leo_low_elev_weak,3,4,380
Ux,leo_low_elev_weak,3,5,339
Ux,leo_low_elev_weak,4,0,348
Ux,leo_low_elev_weak,4,1,2886
Ux,leo_low_elev_weak,4,2,79
Ux,leo_low_elev_weak,4,3,5926
Ux,leo_low_elev_weak,4,4,23557
Ux,leo_low_elev_weak,4,5,204
Ux,leo_low_elev_weak,5,0,241
Ux,leo_low_elev_weak,5,1,327
Ux,leo_low_elev_weak,5,2,140
Ux,leo_low_elev_weak,5,3,35
Ux,leo_low_elev_weak,5,4,1721
Ux,leo_low_elev_weak,5,5,30536
Ux,leo_rain_weak,0,0,21440
Ux,leo_rain_weak,0,1,2194
Ux,leo_rain_weak,0,2,508
Ux,leo_rain_weak,0,3,8520
Ux,leo_rain_weak,0,4,254
Ux,leo_rain_weak,0,5,84
Ux,leo_rain_weak,1,0,2438
Ux,leo_rain_weak,1,1,9593
Ux,leo_rain_weak,1,2,50
Ux,leo_rain_weak,1,3,20323
Ux,leo_rain_weak,1,4,505
Ux,leo_rain_weak,1,5,91
Ux,leo_rain_weak,2,0,2760
Ux,leo_rain_weak,2,1,3014
Ux,leo_rain_weak,2,2,13845
Ux,leo_rain_weak,2,3,3478
Ux,leo_rain_weak,2,4,3502
