arm,adapter_epoch,resource_tier,receiver,seed,k_shot,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,old_to_seen_new_rate,seen_new_to_old_rate,min_old_class_acc,min_seen_new_class_acc,run_dir
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713104,5,0.7222222222222223,0.65,0.39999999999999997,0.4920773237179487,0.07222222222222219,0.08333333333333333,0.44999999999999996,0.36666666666666664,0.2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713104\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713105,1,0.6472222222222223,0.5277777777777778,0.47500000000000003,0.49701058383664076,0.11944444444444445,0.15277777777777776,0.2833333333333334,0.21666666666666667,0.25,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713105\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713105,10,0.7472222222222222,0.688888888888889,0.5750000000000001,0.6243811090583096,0.05833333333333331,0.0861111111111111,0.3416666666666666,0.4166666666666667,0.4,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713105\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713105,2,0.6138888888888889,0.5472222222222222,0.5083333333333333,0.5259438870308436,0.0666666666666667,0.13055555555555556,0.2833333333333334,0.26666666666666666,0.3,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713105\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713105,20,0.775,0.7083333333333334,0.625,0.6639493534957003,0.0666666666666667,0.09444444444444444,0.25,0.45,0.4166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713105\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713105,5,0.7277777777777777,0.6472222222222223,0.525,0.5778972505374108,0.08055555555555553,0.10555555555555556,0.3333333333333333,0.3,0.31666666666666665,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713105\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713101,1,0.8277777777777778,0.7916666666666666,0.6666666666666666,0.7224698108908636,0.03611111111111113,0.06388888888888888,0.2583333333333333,0.5666666666666667,0.4,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713101\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713101,10,0.9166666666666666,0.9055555555555556,0.7916666666666666,0.8445910341808175,0.011111111111111108,0.019444444444444445,0.18333333333333335,0.7333333333333333,0.6333333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713101\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713101,2,0.861111111111111,0.8472222222222222,0.6916666666666668,0.761182522044591,0.01388888888888884,0.044444444444444446,0.2416666666666667,0.7,0.43333333333333335,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713101\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713101,20,0.9250000000000002,0.9083333333333333,0.8333333333333334,0.869205929815888,0.01666666666666668,0.016666666666666666,0.14166666666666666,0.7666666666666667,0.7166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713101\k_20\cvs_qknnv42
