arm,adapter_epoch,receiver,seed,k_shot,scenario,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,head_macs,persistent_state_bytes,scoring_latency_per_query_ms
E10,10,3-19,713102,1,leo_rain_weak,0.5833333333333334,0.575,0.325,0.4152777777777778,0.008333333333333415,901120,31201,0.00704245176166296
E10,10,3-19,713102,10,leo_clear_weak,0.775,0.7,0.625,0.6603773584905661,0.07500000000000007,4956160,57409,0.029681486194022
E10,10,3-19,713102,10,leo_low_elev_weak,0.7583333333333333,0.6583333333333333,0.625,0.6412337662337663,0.09999999999999998,4956160,57409,0.028824625769630075
E10,10,3-19,713102,10,leo_rain_weak,0.75,0.675,0.625,0.6490384615384616,0.07499999999999996,4956160,57409,0.07185919675976038
E10,10,3-19,713102,2,leo_clear_weak,0.725,0.6166666666666667,0.45,0.5203125000000001,0.10833333333333328,1351680,34113,0.010360858868807554
E10,10,3-19,713102,2,leo_low_elev_weak,0.6833333333333333,0.5666666666666667,0.475,0.5168,0.1166666666666667,1351680,34113,0.008919162792153656
E10,10,3-19,713102,2,leo_rain_weak,0.675,0.6333333333333333,0.35,0.45084745762711864,0.04166666666666674,1351680,34113,0.008689882815815508
E10,10,3-19,713102,20,leo_clear_weak,0.7416666666666667,0.6833333333333333,0.675,0.6791411042944786,0.05833333333333335,9461760,86529,0.0335237302351743
E10,10,3-19,713102,20,leo_low_elev_weak,0.7666666666666667,0.6833333333333333,0.675,0.6791411042944786,0.08333333333333337,9461760,86529,0.03064884804189205
E10,10,3-19,713102,20,leo_rain_weak,0.7166666666666667,0.65,0.65,0.65,0.06666666666666665,9461760,86529,0.03043611068278551
